School,ID,Diploma_Honors,Diploma_Core40,Diploma_General,Waiver_Yes,Waiver_No,AP_Passed,AP_NotPassed,AP_NotTaken,DualCredit_Yes,DualCredit_No,21Century_Yes,21Century_No,LunchFR_Yes,LunchFR_No,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_Other
SouthAdamsHighSchool,0023,19,46,19,4,80,20,10,54,53,31,9,75,27,57,77,2,1,1,3
SouthCentralJrSrHighSchool,4737,28,33,21,3,79,2,15,65,57,25,6,76,19,63,74,0,6,1,1
SouthCentralJrSrHighSchool,2670,7,28,21,8,48,0,7,49,29,27,8,48,21,35,53,0,1,0,2
SouthDearbornHighSchool,1179,38,97,51,13,173,9,7,170,135,51,,164,61,125,180,0,4,0,2
SouthDecaturJrSrHighSchool,1263,19,28,15,6,56,2,27,33,58,4,,51,27,35,58,1,2,0,1
SouthKnoxMiddleHighSchool,3490,41,18,21,1,79,0,0,80,55,25,,63,19,61,79,0,0,0,1
SouthNewtonSeniorHighSch,6417,20,34,3,1,56,8,17,32,41,16,,45,21,36,51,0,6,0,0
SouthPutnamHighSchool,7071,26,52,12,5,85,26,17,47,68,22,,74,23,67,86,0,1,0,3
SouthRipleyHighSchool,7182,33,38,15,6,80,3,5,78,64,22,,58,39,47,84,0,0,0,2
SouthSideHighSchool,0105,42,157,48,49,198,11,15,221,79,168,,177,202,45,52,88,73,17,17
SouthSpencerHighSchool,7795,26,42,26,3,91,12,18,64,38,56,,81,24,70,86,1,3,0,4
SouthVermillionHighSchool,8432,47,58,11,3,113,9,41,66,80,36,,93,38,78,111,0,3,0,2
SouthernWellsJrSrHighSch,9058,23,31,17,6,65,9,13,49,38,33,,61,17,54,69,0,0,1,1
SouthmontSrHighSchool,6257,34,71,11,5,111,18,35,63,46,70,,98,32,84,112,0,2,0,2
SouthportHighSchool,5309,117,273,70,92,368,74,126,260,147,313,,358,274,186,269,45,45,81,20
SouthridgeHighSchool,1588,46,54,22,9,113,25,15,82,74,48,,107,45,77,96,0,26,0,0
SouthwestINRegionalYouthVlg,B562,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
SouthwesternHighSchool,3337,36,35,8,6,73,22,12,45,49,30,9,70,22,57,78,1,0,0,0
SouthwesternHighSchool,7701,11,20,7,3,35,5,15,18,23,15,4,34,14,24,36,0,2,0,0
SouthwoodJrSrHighSchool,8655,17,49,26,13,79,15,14,63,54,38,,81,16,76,88,1,1,0,2
SpeedwaySeniorHighSchool,5891,35,70,10,10,105,26,31,58,43,72,,89,48,67,77,22,8,3,5
SullivanHighSchool,7957,38,76,20,3,131,11,20,103,61,73,,116,56,78,125,0,4,0,5
TCHarrisSchool,D451,,,,,,,,,,,,,,,,,,,
TROYCenter,D907,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
TabernacleChristianSchools,C940,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
TaylorHighSchool,2894,26,47,19,4,88,5,21,66,53,39,,72,31,61,78,5,3,2,4
TecumsehJrSrHighSch,8772,15,30,16,9,52,3,5,53,32,29,4,57,16,45,58,1,2,0,0
TellCityJrSrHighSchool,6741,17,52,23,6,86,9,12,71,68,24,,72,31,61,86,0,3,2,1
TerreHauteNorthVigoHighSch,8441,135,200,57,26,366,46,61,285,323,69,,307,153,239,341,26,6,2,17
TerreHauteSouthVigoHighSch,8457,136,163,64,15,348,93,42,228,250,113,,287,127,236,278,25,14,18,28
TheAcadofSciEntrepreneurship,6202,5,9,5,0,19,0,0,19,19,0,5,14,5,14,18,1,0,0,0
TheExcelCenterAnderson,4904,0,38,9,4,43,0,1,46,18,29,2,45,25,22,31,10,4,0,2
TheIndependenceAcademy,C589,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
TheKingsAcademy,B136,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
TheaBowmanLeadershipAcademy,4022,21,67,1,3,86,2,13,74,23,66,,55,72,17,0,86,1,0,2
TheodoreRooseveltCareerTechnicalAcademy,4033,0,6,30,6,30,0,0,36,0,36,3,33,35,1,1,32,3,0,0
ThomasAEdisonJrSrHighSchool,3965,17,77,3,5,92,6,20,71,32,65,,68,71,26,52,2,42,0,1
ThomasCarrHoweCommunityHighSchool,5639,2,50,0,0,52,1,11,40,2,50,,39,22,30,17,32,1,0,2
TippecanoeValleyHighSchool,3602,29,88,28,9,136,11,14,120,79,66,,109,57,88,125,2,14,0,4
TiptonHighSchool,8177,38,57,23,14,104,26,21,71,56,62,,98,35,83,111,0,3,1,3
ToddAcademyInc,B293,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
TradersPointChristianAcademy,C375,7,8,0,0,15,3,10,2,0,15,2,13,2,13,10,2,2,1,0
TriCentralMiddleHighSchool,8155,21,27,16,3,61,24,14,26,9,55,,54,13,51,63,0,1,0,0
TriJuniorSeniorHighSchool,2773,18,35,12,4,61,1,15,49,43,22,,48,18,47,63,0,1,0,1
TriCountyMiddleSeniorHigh,9141,23,25,3,5,46,1,19,31,43,8,,39,11,40,50,0,1,0,0
TriWestSeniorHighSchool,2731,67,49,26,5,137,33,16,93,108,34,,126,14,128,134,2,3,0,3
TrinityChristianSchool,C561,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
TrinityLutheranHighSchool,B452,24,13,1,0,38,5,4,29,36,2,3,35,0,38,37,0,0,1,0
TritonCentralHighSchool,7689,46,43,9,4,94,2,3,93,87,11,,79,31,67,95,0,3,0,0
TritonJrSrHighSchool,5923,27,30,17,1,73,8,7,59,50,24,,64,22,52,71,0,2,0,1
TurkeyRunJrSrHighSchool,6649,7,15,11,2,31,4,11,18,25,8,7,26,13,20,32,0,1,0,0
TwinLakesSeniorHighSchool,9149,44,70,22,16,120,33,28,75,97,39,,107,54,82,115,1,16,1,3
UnionCityCommunityJrSrHS,7161,16,34,10,6,54,2,15,43,31,29,,40,27,33,51,0,7,1,1
UnionCountyHighSchool,8193,36,56,16,10,98,22,17,69,45,63,,96,39,69,105,0,0,0,3
UnionHighSchool,7909,,,,,,,,,,,,,,,,,,,
UnionJuniorHighSchool,7119,8,19,8,9,26,3,9,23,16,19,,23,21,14,33,1,1,0,0
UniversityHeightsPreparatoryAcademy,5864,0,9,2,2,9,0,0,11,0,11,0,11,8,3,6,4,1,0,0
UniversityHighSchoolofIndiana,B241,38,31,0,2,67,54,6,9,2,67,0,69,0,69,58,4,1,5,1
ValparaisoHighSchool,6881,271,230,16,11,506,122,76,319,292,225,,465,89,428,428,20,40,13,16
VictoryChristianAcademy,D073,14,10,0,0,24,0,0,24,13,11,3,21,0,24,22,0,1,1,0
WabashHighSchool,8693,28,42,30,14,86,9,25,66,69,31,,81,38,62,95,2,1,1,1
WaldoJWoodMemorialHighSchool,2233,10,22,22,5,49,2,11,41,9,45,3,51,14,40,53,0,1,0,0
WaldronJrSrHighSchool,7665,12,30,2,1,43,9,8,27,18,26,8,36,9,35,42,0,1,0,1
WapahaniHighSchool,1375,32,36,15,3,80,9,17,57,61,22,,63,35,48,82,0,1,0,0
WarrenCentralHighSchool,5361,150,451,161,76,686,109,89,564,414,348,,604,466,296,253,366,88,6,49
WarsawCommunityHighSchool,3647,164,257,68,41,448,68,40,381,329,160,,429,176,313,392,5,80,3,9
WashingtonCatholicMidHighSch,A660,11,6,1,2,16,0,0,18,14,4,3,15,2,16,16,0,1,1,0
WashingtonHighSchool,7517,37,121,26,35,149,3,29,152,80,104,,149,134,50,45,90,33,0,16
WashingtonHighSchool,1125,47,68,39,14,140,11,16,127,92,62,,121,65,89,125,6,14,0,9
WashingtonTwpMiddleHighSchool,6849,10,36,7,4,49,1,2,50,34,19,4,49,12,41,47,0,4,1,1
WawaseeHighSchool,3639,77,88,33,6,192,24,21,153,132,66,,180,62,136,174,1,16,0,7
WayneHighSchool,0177,60,194,18,49,223,8,61,203,138,134,,201,180,92,115,84,43,10,20
WesDelMiddleSeniorHighSchool,1372,24,36,3,1,62,1,14,48,42,21,,50,16,47,62,0,0,0,1
WestCentralSeniorHighSchool,7025,21,36,5,4,58,4,6,52,44,18,,44,24,38,55,0,2,1,4
WestLafayetteJrSrHighSch,8129,112,41,3,0,156,95,7,54,104,52,7,149,14,142,113,1,8,29,5
WestNobleHighSchool,6489,40,92,20,8,144,6,20,126,92,60,,120,80,72,79,1,68,2,2
WestSideLeadershipAcademy,4163,11,133,4,19,129,0,39,109,20,128,,129,121,27,1,141,2,0,4
WestVigoHighSchool,8453,47,73,10,7,123,12,41,77,114,16,,90,53,77,129,0,0,0,1
WestWashingtonJrSrHS,8869,10,27,25,1,61,3,18,41,38,24,,45,32,30,61,0,1,0,0
WesternBooneJrSrHighSchool,0539,60,65,2,3,124,31,30,66,107,20,,98,36,91,123,0,2,0,2
WesternHighSchool,2921,91,68,22,8,173,31,40,110,133,48,,161,43,138,160,6,5,2,8
WestfieldHighSchool,2493,203,185,36,6,418,218,49,157,193,231,,401,62,362,369,7,24,9,15
WestviewJrSrHighSchool,3697,34,38,9,2,79,11,18,52,39,42,,70,24,57,75,0,4,0,2
WestvilleHighSchool,4701,18,37,7,6,56,1,16,45,40,22,8,54,21,41,57,1,1,0,3
WheelerHighSchool,6841,51,54,15,5,115,21,9,90,76,44,4,116,18,102,100,2,14,2,2
WhiteRiverValleyJrSrHighSchool,2429,15,24,14,4,49,4,2,47,27,26,,43,19,34,,0,0,0,0
WhitesAcademy,B473,***,***,***,***,***,***,***,***,***,***,,***,***,***,,***,***,***,***
WhitesJrSrHighSchool,8673,1,10,2,3,10,0,0,13,6,7,2,11,11,2,,1,0,0,1
WhitelandCommunityHighSchool,3421,134,193,27,20,334,97,72,185,181,173,,304,129,225,,6,7,25,10
WhitingHighSchool,4353,19,52,14,0,85,8,14,63,44,41,,66,55,30,28,2,52,0,3
WhitkoHighSchool,9191,50,73,6,5,124,17,33,79,85,44,,107,46,83,124,1,3,0,1
WilliamAWirtEmersonVisualPerfArtsAcademy,4168,12,63,6,6,75,3,36,42,25,56,,57,49,32,1,80,0,0,0
WilliamHenryHarrisonHighSchool,8311,48,64,80,28,164,7,37,148,76,116,,145,93,99,122,41,7,2,20
WilliamWBordenHighSchool,0813,23,30,2,4,51,4,23,28,48,7,8,47,18,37,52,0,1,0,2
WinamacCommunityHighSchool,6997,32,43,14,6,83,7,20,62,54,35,,70,27,62,80,1,2,0,6
WoodlanJrSrHighSchool,0285,34,50,12,9,87,12,33,51,47,49,,80,28,68,81,5,4,4,2
YorktownHighSchool,1389,103,65,18,3,183,79,50,57,80,106,,152,55,131,164,8,4,3,7
ZionsvilleCommunityHighSchool,0512,266,139,8,5,408,237,59,117,85,328,6,407,14,399,369,3,17,10,14
