School,ID,Diploma_Honors,Diploma_Core40,Diploma_General,Waiver_Yes,Waiver_No,AP_Passed,AP_NotPassed,AP_NotTaken,DualCredit_Yes,DualCredit_No,21Century_Yes,21Century_No,LunchFR_Yes,LunchFR_No,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_Other,year,Year
CrispusAttucksMedicalMagnetHighSchool,5473,38,39,0,2,75,0,58,19,29,48,,41,55,22,4,55,13,0,5,2014,2014
CrossingEducationalCenter,B009,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
CrothersvilleJrSrHighSchool,3121,17,20,0,2,35,0,0,37,36,1,,26,10,27,37,0,0,0,0,2014,2014
CrownPointHighSchool,3901,266,347,30,42,601,160,58,425,463,180,,608,98,545,542,6,69,11,15,2014,2014
CulverCommunityHighSchool,5245,9,28,13,3,47,0,5,45,36,14,,32,25,25,43,3,1,0,3,2014,2014
DalevilleJrSrHighSchool,1401,19,40,2,2,59,2,9,50,31,30,,46,21,40,59,0,1,1,0,2014,2014
DanvilleCommunityHighSchool,2741,82,74,39,2,193,15,11,169,168,27,,179,34,161,180,0,8,2,5,2014,2014
DecaturCentralHighSchool,5177,69,227,69,40,325,25,29,311,163,202,,317,190,175,287,44,26,1,7,2014,2014
DecaturTownshipSchoolforExcellence,5188,9,14,3,0,26,3,0,23,15,11,,24,9,17,23,1,0,0,2,2014,2014
DeKalbHighSchool,1345,71,160,46,16,261,52,13,212,152,125,,238,71,206,265,0,5,1,6,2014,2014
DelphiCommunityHighSchool,0637,54,55,10,9,110,1,30,88,88,31,,96,46,73,111,1,4,0,3,2014,2014
DeltaHighSchool,1369,66,71,49,7,179,0,0,186,139,47,,148,59,127,175,3,4,1,3,2014,2014
DonaldEGavitMiddleHighSchool,4413,41,106,5,17,135,16,46,90,41,111,,118,108,44,41,56,47,0,8,2014,2014
EastCentralHighSchool,7213,149,114,63,17,309,54,19,253,219,107,,301,46,280,320,0,4,0,2,2014,2014
EastChicagoCentralHighSchool,3924,35,156,36,15,212,14,42,171,106,121,,162,193,34,0,100,127,0,0,2014,2014
EastNobleHighSchool,6458,121,156,36,41,272,47,54,212,162,151,,239,102,211,294,2,13,2,2,2014,2014
EastbrookHighSchool,2293,37,80,9,8,118,17,21,88,66,60,,86,31,95,122,2,0,0,2,2014,2014
EasternGreeneHighSchool,2435,20,56,20,17,79,5,1,90,64,32,,65,30,66,94,0,0,2,0,2014,2014
EasternHancockHighSchool,2585,38,34,13,0,85,8,7,70,48,37,,67,20,65,82,0,2,0,1,2014,2014
EasternHighSchool,8905,38,60,19,17,100,2,5,110,74,43,,92,56,61,114,0,0,1,2,2014,2014
EasternHighSchool,2919,54,44,18,3,113,14,23,79,71,45,,104,27,89,107,0,4,1,4,2014,2014
EastsideJuniorSeniorHighSchool,1317,28,54,29,9,102,0,0,111,59,52,,94,46,65,101,4,3,0,3,2014,2014
EdgewoodHighSchool,6146,62,64,27,4,149,5,5,143,102,51,,108,34,119,137,3,6,1,6,2014,2014
EdinburghCommunityHighSchool,3447,17,28,10,1,54,1,12,42,34,21,,44,30,25,54,0,0,0,1,2014,2014
ElkhartCentralHighSchool,1749,72,190,75,23,314,62,60,215,148,189,,274,192,145,170,37,101,3,26,2014,2014
ElkhartChristianAcademy,A990,20,23,1,0,44,7,1,36,4,40,,36,0,44,38,0,2,2,2,2014,2014
ElkhartMemorialHighSchool,1750,70,214,43,25,302,33,57,237,144,183,,283,164,163,198,25,72,2,30,2014,2014
ElwoodJrSrHighSchool,5149,26,44,28,17,81,2,8,88,63,35,,74,38,60,89,0,6,0,3,2014,2014
EmanSchools,B160,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
EminenceJrSrHighSchool,6325,6,17,15,3,35,1,7,30,12,26,7,32,11,27,38,0,0,0,0,2014,2014
EmmerichManualHighSchool,5481,4,63,12,6,73,1,12,66,5,74,4,63,65,14,41,15,20,0,3,2014,2014
EvansvilleDaySchool,D525,7,4,0,0,11,8,0,3,1,10,,9,0,11,10,0,0,1,0,2014,2014
ExcelCenterForAdultLearners,5669,0,185,19,22,182,0,0,204,48,156,,194,147,57,41,134,22,1,6,2014,2014
FairfieldJrSrHighSchool,1613,61,69,16,1,145,52,19,75,63,83,,114,24,122,135,0,7,1,3,2014,2014
FaithChristianSchool,D452,22,22,1,0,45,26,5,14,13,32,,41,0,45,35,1,1,5,3,2014,2014
FallCreekAcademy,5870,0,12,0,2,10,0,0,12,6,6,1,12,10,2,0,12,0,0,0,2014,2014
FishersChristianAcademy,B161,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
FishersHighSchool,2487,264,243,24,12,519,162,62,307,156,375,,501,72,459,417,43,25,30,16,2014,2014
FloydCentralHighSchool,1930,170,166,70,19,387,132,55,219,308,98,,388,45,361,386,1,5,8,6,2014,2014
ForestParkJrSrHighSchool,1583,65,35,23,3,120,8,20,95,72,51,,99,17,106,123,0,0,0,0,2014,2014
FountainCentralHighSchool,2022,31,58,12,21,80,3,15,83,44,57,,84,40,61,92,0,4,1,4,2014,2014
FrancisJosephReitzHighSchool,8245,96,184,44,30,294,14,28,282,212,112,,278,118,206,287,19,1,5,12,2014,2014
FrankfortSeniorHighSchool,0997,41,118,29,22,166,5,32,151,95,93,,151,85,103,116,1,65,1,5,2014,2014
FranklinCentralHighSchool,5193,190,338,34,38,524,143,124,295,176,386,,481,154,408,441,33,37,23,28,2014,2014
FranklinCommunityHighSchool,3445,123,149,81,31,322,50,48,255,197,156,,310,76,277,334,4,7,1,7,2014,2014
FranklinCountyHighSchool,2083,65,94,38,23,174,6,21,170,95,102,,170,81,116,194,0,0,0,3,2014,2014
FranktonJrSrHighSchool,5005,29,59,32,19,101,3,16,101,38,82,,104,37,83,112,1,2,0,5,2014,2014
FremontHighSchool,7877,43,32,11,3,83,0,0,86,53,33,,73,25,61,79,0,2,2,3,2014,2014
FrontierJrSrHighSchool,9137,18,26,11,5,50,3,9,43,34,21,,50,13,42,55,0,0,0,0,2014,2014
GarrettHighSchool,1325,42,76,20,4,134,14,21,103,77,61,,107,54,84,122,2,2,2,10,2014,2014
GaryLighthouseCharterSchool,4130,0,79,0,16,63,0,7,72,0,79,,59,49,30,0,76,2,0,1,2014,2014
GaryMiddleCollege,4027,0,27,0,0,27,0,0,27,1,26,0,24,8,19,1,26,0,0,0,2014,2014
GatewayWoodsSchool,A352,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
GeorgeRogersClarkMiddleHighSchool,4411,34,139,13,23,163,10,28,148,60,126,,157,145,41,29,24,127,2,4,2014,2014
GeorgeWashingtonCommunityHighSchool,5643,8,62,10,13,67,4,0,76,50,30,,57,66,14,23,23,28,0,6,2014,2014
GibsonSouthernHighSchool,2211,60,64,32,4,152,8,2,146,76,80,,143,17,139,151,0,2,1,2,2014,2014
GoshenHighSchool,1821,96,191,66,20,333,10,14,329,165,188,,287,210,143,176,7,157,6,7,2014,2014
GrangerChristianSchool,D310,6,0,6,0,12,1,0,11,0,12,5,12,0,12,11,0,0,0,1,2014,2014
GreencastleSeniorHighSch,7089,34,72,14,4,116,20,22,78,60,60,,99,37,83,112,1,5,1,1,2014,2014
GreenfieldCentralHighSchool,2595,146,134,37,14,303,37,73,207,180,137,,269,66,251,303,1,5,2,6,2014,2014
GreensburgCommunityHighSchool,1268,48,54,19,6,115,10,37,74,93,28,,86,42,79,118,0,2,0,1,2014,2014
GreenwoodChristianAcademy,C966,24,18,1,0,43,2,3,38,25,18,,43,0,43,40,0,1,2,0,2014,2014
GreenwoodCommunityHighSchool,3473,72,136,21,3,226,2,0,227,129,100,,208,60,169,208,3,8,3,7,2014,2014
GriffithSeniorHighSchool,4173,42,113,31,11,175,12,26,148,75,111,,161,75,111,108,31,45,0,2,2014,2014
GuerinCatholicHighSchool,B249,123,45,0,1,167,0,0,168,4,164,,167,3,165,152,1,5,7,3,2014,2014
HagerstownJrSrHighSchool,8985,19,43,9,5,66,0,10,61,42,29,,54,22,49,70,0,0,0,1,2014,2014
HamiltonCommunityHighSch,7885,16,22,3,3,38,0,1,40,17,24,,37,11,30,40,0,0,0,1,2014,2014
HamiltonHeightsHighSchool,2477,50,86,15,4,147,8,23,120,83,68,,136,30,121,143,0,3,0,5,2014,2014
HamiltonSoutheasternHighSchool,2499,356,294,49,15,684,207,102,390,228,471,,674,57,642,556,63,18,46,16,2014,2014
HammondAcademyofScienceTechnology,4486,14,42,0,4,52,0,0,56,40,16,,41,25,31,19,15,18,0,4,2014,2014
HammondHighSchool,4415,19,114,25,38,120,8,35,115,46,112,,127,122,36,10,76,60,1,11,2014,2014
HanoverCentralHighSchool,3785,46,86,4,5,131,13,15,108,89,47,,132,21,115,115,5,9,1,6,2014,2014
HauserJrSrHighSchool,0410,16,31,18,6,59,0,0,65,54,11,,51,20,45,63,0,0,0,2,2014,2014
HebronHighSchool,6813,19,48,10,1,76,10,15,52,46,31,,64,22,55,70,1,5,0,1,2014,2014
HenryvilleJrSrHighSchool,0765,24,34,9,13,54,1,8,58,39,28,,54,21,46,66,0,0,0,1,2014,2014
HeritageChristianSchool,C275,47,39,4,1,89,0,0,90,0,90,0,86,0,90,83,1,1,5,0,2014,2014
HeritageHallChristianSchool,A746,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
HeritageHillsHighSchool,7759,62,56,23,4,137,14,16,111,92,49,,127,30,111,131,0,8,0,2,2014,2014
HeritageJrSrHighSchool,0081,47,53,34,17,117,3,7,124,49,85,,119,46,88,101,13,5,8,7,2014,2014
HerronHighSchool,5724,86,51,6,1,142,58,32,53,47,96,,127,56,87,85,42,5,0,11,2014,2014
HighlandHighSchool,4281,83,158,41,6,276,41,20,221,154,128,,255,91,191,195,19,56,1,11,2014,2014
HobartHighSchool,4305,83,136,55,25,249,23,74,177,162,112,,235,97,177,194,16,47,11,6,2014,2014
HolyCrossSchool,D725,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
HomesteadSeniorHighSchool,0047,223,194,98,17,498,112,42,361,272,243,,477,48,467,421,27,26,19,22,2014,2014
HoosierAcademyIndianapolis,2527,5,11,2,2,16,1,3,14,0,18,9,15,0,18,16,1,1,0,0,2014,2014
HoosierAcademyVirtualCharterSchool,5290,3,30,12,9,36,0,4,41,1,44,,40,4,41,36,4,3,0,2,2014,2014
HopeAcademy,5292,0,12,3,3,12,0,0,15,1,14,3,15,1,14,15,0,0,0,0,2014,2014
HorizonChristianAcademy,A309,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
HorizonChristianSchool,C282,10,7,0,0,17,0,0,17,10,7,0,16,0,17,12,3,0,0,2,2014,2014
HoweSchool,B725,0,16,0,7,9,0,1,15,0,16,4,16,0,16,11,1,0,3,1,2014,2014
HuntingtonNorthHighSchool,3065,120,161,86,13,354,47,38,282,194,173,,326,93,274,341,0,16,3,7,2014,2014
INAcademyforScienceMathHumanities,1443,137,0,0,0,137,60,6,71,125,12,,108,35,102,109,7,9,7,5,2014,2014
IndianCreekSrHighSchool,3419,34,70,33,10,127,6,9,122,83,54,,125,25,112,135,1,0,0,1,2014,2014
IndianaAcademy,B190,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
IndianaChristianAcademy,C175,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
IndianaConnectionsAcademy,7944,24,193,0,24,193,0,0,217,19,198,,188,70,147,195,9,7,3,3,2014,2014
IndianaCyberCharterSchool,4421,0,13,5,5,13,0,0,18,3,15,0,17,3,15,16,1,0,1,0,2014,2014
IndianaMathScienceAcademy,5837,5,25,0,3,27,1,5,24,12,18,,23,20,10,3,23,3,0,1,2014,2014
IndianaSchoolForTheBlind,C460,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
IndianaSchoolForTheDeaf,C695,1,10,1,6,6,0,0,12,1,11,4,12,9,3,10,0,2,0,0,2014,2014
IndianaVirtualSchool,2488,0,11,0,2,9,0,0,11,3,8,2,11,0,11,8,1,1,0,1,2014,2014
IndianapolisLighthouseCharterSchool,5523,13,26,4,4,39,0,12,31,21,22,,28,31,12,10,27,5,0,1,2014,2014
IndianapolisMetropolitanHighSchool,5664,3,60,10,14,59,1,3,69,16,57,,53,54,19,16,50,3,0,4,2014,2014
InternationalSchofINHS912,C677,28,0,0,0,28,0,0,28,0,28,,27,0,28,18,3,2,4,1,2014,2014
IrvingtonCommunitySchool,1537,17,43,0,2,58,7,9,44,37,23,,48,31,29,42,11,6,0,1,2014,2014
JacCenDelMSHS,7193,24,38,10,1,71,1,37,34,53,19,,58,19,53,72,0,0,0,0,2014,2014
JamesEDavisSchool,A480,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
JasperHighSchool,1593,109,128,13,3,247,48,51,151,103,147,,223,38,212,230,1,15,1,3,2014,2014
JayCountyHighSchool,3239,74,122,57,25,228,12,25,216,130,123,,183,104,149,239,0,7,1,6,2014,2014
JeffersonHighSchool,8069,105,194,99,52,346,31,37,330,215,183,,307,215,183,230,47,92,3,26,2014,2014
JeffersonvilleHighSchool,0849,107,265,85,43,414,63,98,296,256,201,,394,202,255,304,74,30,5,44,2014,2014
JenningsCountyHighSchool,3345,74,145,95,45,269,13,22,279,279,35,,203,133,181,303,2,6,0,3,2014,2014
JimtownHighSchool,1701,29,67,38,14,120,1,12,121,51,83,,126,38,96,127,1,4,0,2,2014,2014
JohnGlennHighSchool,7453,47,85,6,4,134,37,18,83,70,68,,107,58,80,123,3,8,0,4,2014,2014
JohnMarshallCommunityHighSchool,5494,6,51,14,9,62,4,7,60,9,62,3,44,39,32,1,63,4,0,3,2014,2014
JohnPaulIICatholicHighSch,D722,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
JointServiceCampusProgram,7467,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
KankakeeValleyHighSchool,3181,94,95,41,11,219,19,58,153,175,55,,193,64,166,193,5,31,0,1,2014,2014
KeyLearningCommunityHighSchool,5631,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
KingdomAcademyofBlufftonInc,D875,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
KnightstownHighSchool,2869,26,69,8,6,97,13,7,83,51,52,,78,37,66,102,0,0,0,1,2014,2014
KnoxCommunityHighSchool,7833,24,75,27,4,122,6,11,109,72,54,,86,74,52,119,0,5,0,2,2014,2014
KokomoHighSchool,3013,86,233,95,64,350,40,55,319,212,202,,261,188,226,272,73,12,22,35,2014,2014
KoutsMiddleHighSchool,6833,8,50,15,3,70,6,11,56,40,33,,67,15,58,64,0,6,0,3,2014,2014
LaCrosseSchool,4692,5,11,6,0,22,0,1,21,11,11,4,20,9,13,21,0,0,0,1,2014,2014
LakeCentralHighSchool,3833,306,360,76,26,716,159,56,527,497,245,,703,122,620,567,38,92,23,22,2014,2014
LakelandChristianAcademy,B595,9,4,0,4,9,0,0,13,1,12,5,12,0,13,12,0,1,0,0,2014,2014
LakelandHighSchool,3730,39,96,11,7,139,4,14,128,77,69,,111,53,93,125,0,18,0,3,2014,2014
LakewoodParkChristianSch,A740,28,13,0,2,39,9,6,26,1,40,,38,3,38,39,0,1,0,1,2014,2014
LanesvilleJrSrHighSchool,2613,22,36,7,2,63,10,9,46,55,10,,62,19,46,63,0,0,0,2,2014,2014
LapelSrHighSchool,5011,36,41,11,4,84,1,1,86,55,33,,76,20,68,83,0,1,0,4,2014,2014
LaPorteHighSchool,4741,145,177,88,60,350,32,44,334,221,189,,379,124,286,334,10,51,2,13,2014,2014
LaVilleJrSrHighSchool,7399,26,41,6,4,69,2,4,67,44,29,,64,20,53,69,2,2,0,0,2014,2014
LawrenceCentralHighSchool,5275,142,268,95,73,432,80,67,358,191,314,,420,232,273,189,225,51,5,35,2014,2014
LawrenceNorthHighSchool,5276,188,294,67,78,471,64,88,397,226,323,,466,236,313,255,211,52,8,23,2014,2014
LawrenceburgHighSchool,1177,42,56,18,3,113,0,8,108,102,14,,90,37,79,103,1,3,1,8,2014,2014
LebanonSeniorHighSchool,0553,77,109,44,15,215,24,39,167,127,103,,209,63,167,215,1,9,2,3,2014,2014
LeoJuniorSeniorHighSchool,0049,81,102,10,6,187,21,12,160,77,116,,183,20,173,173,4,7,3,6,2014,2014
LewWallaceSciTechEngMath,4029,1,40,39,20,60,0,1,79,4,76,1,66,54,26,1,72,1,0,6,2014,2014
LewisCassJrSrHighSchool,0689,23,50,26,14,85,6,23,70,53,46,,88,28,71,88,0,5,3,3,2014,2014
LibertyChristianSchool,C225,15,17,2,1,33,0,0,34,0,34,0,26,0,34,31,0,0,2,1,2014,2014
LighthouseChristianAcademy,C927,9,2,0,0,11,7,3,1,4,7,,10,0,11,11,0,0,0,0,2014,2014
LincolnHighSchool,3553,46,66,51,18,145,4,5,154,71,92,,122,69,94,144,6,8,2,3,2014,2014
LincolnSrHighSch,8961,27,36,21,6,78,8,13,63,50,34,,62,39,45,84,0,0,0,0,2014,2014
LintonStocktonHighSchool,2437,17,34,16,0,67,10,10,47,25,42,,56,20,47,65,0,1,1,0,2014,2014
LogansportCommunityHighSchool,0701,85,150,26,24,237,11,23,227,183,78,,205,117,144,176,5,69,5,6,2014,2014
LoogooteeHighSchool,6003,20,33,16,8,61,0,0,69,34,35,,55,25,44,68,0,0,0,1,2014,2014
LowellSeniorHighSchool,3865,91,175,40,25,281,30,29,247,177,129,,297,48,258,281,1,19,0,5,2014,2014
LutheranHighSchool,C270,30,0,25,2,53,10,5,40,28,27,,54,0,55,40,6,1,4,4,2014,2014
MaconaquahHighSchool,6032,30,100,17,12,135,2,31,114,79,68,,115,54,93,136,1,2,2,6,2014,2014
MadisonConsolidatedHighSchool,3309,81,94,50,18,207,32,18,175,140,85,,185,97,128,208,4,2,2,9,2014,2014
MadisonGrantHighSchool,2321,38,57,15,7,103,1,13,96,64,46,,76,41,69,108,0,1,0,1,2014,2014
ManchesterJrSrHighSchool,8625,23,55,29,5,102,19,24,64,62,45,,82,48,59,95,1,4,1,6,2014,2014
MarianHighSchool,D165,88,74,1,5,158,23,22,118,98,65,,148,23,140,135,3,17,6,2,2014,2014
MarionHighSchool,2351,58,146,34,37,201,18,12,208,167,71,,138,128,110,118,63,16,7,34,2014,2014
MarquetteCatholicHighSchool,C125,29,20,1,1,49,5,6,39,36,14,,47,3,47,38,3,2,5,2,2014,2014
MartinsvilleHighSchool,6329,95,185,63,17,326,81,35,227,194,149,,280,102,241,334,0,0,1,8,2014,2014
MaterDeiHighSchool,D530,77,38,4,0,119,6,20,93,99,20,,114,9,110,116,0,1,1,1,2014,2014
McCutcheonHighSchool,8003,109,210,74,22,371,30,43,320,243,150,,346,110,283,335,10,37,5,6,2014,2014
McLeanEducationCenterAlt,8612,1,5,20,8,18,0,0,26,6,20,2,18,18,8,22,2,0,0,2,2014,2014
MedoraJrSrHighSchool,3093,4,4,7,5,10,0,0,15,12,3,3,10,7,8,15,0,0,0,0,2014,2014
MerrillvilleHighSchool,3809,84,286,139,36,473,33,62,414,147,362,,456,260,249,81,309,69,6,44,2014,2014
MichiganCityHighSchool,4795,82,205,41,31,297,17,13,298,144,184,,280,179,149,203,85,22,1,17,2014,2014
MidwestElitePrepAcadInc,B747,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
MilanHighSchool,7205,32,47,19,10,88,2,9,87,64,34,,76,33,65,97,0,0,1,0,2014,2014
MishawakaHighSchool,7461,77,211,52,29,311,22,33,285,168,172,,282,181,159,282,16,23,4,15,2014,2014
MississinewaHighSchool,2333,53,112,10,11,164,20,45,110,36,139,,112,92,83,158,4,4,2,7,2014,2014
MitchellHighSchool,4925,33,37,47,10,107,13,13,91,55,62,,94,41,76,117,0,0,0,0,2014,2014
MonroeCentralJrSrHighSch,7151,15,38,18,7,64,0,0,71,39,32,,49,33,38,67,0,0,1,3,2014,2014
MonroviaHighSchool,6321,29,41,42,15,97,19,12,81,7,105,,104,22,90,106,1,3,0,2,2014,2014
MooresvilleHighSchool,6369,113,145,44,24,278,25,30,247,169,133,,272,76,226,283,1,10,2,6,2014,2014
MorganTownshipMiddleHighSchool,6825,24,30,2,1,55,1,11,44,43,13,,54,7,49,52,0,2,0,2,2014,2014
MorristownJrSrHighSchool,7661,22,23,5,3,47,5,16,29,10,40,,43,10,40,50,0,0,0,0,2014,2014
MortonSeniorHighSchool,4417,23,191,30,33,211,12,33,199,45,199,,213,153,91,66,73,91,3,11,2014,2014
MountVernonHighSchool,6949,55,72,49,16,160,16,26,134,94,82,,166,39,137,167,1,2,1,5,2014,2014
