School,ID,Diploma_Honors_EC,Diploma_Core40_EC,Diploma_General_EC,Waiver_Yes_EC,Waiver_No_EC,AP_Passed_EC,AP_NotPassed_EC,AP_NotTaken_EC,DualCredit_Yes_EC,DualCredit_No_EC,21Century_Yes_EC,21Century_No_EC,LunchFR_Yes_EC,LunchFR_No_EC,Race_White_EC,Race_Black_EC,Race_Hispanic_EC,Race_Asian_EC,Race_Other_EC
21stCenturyCharterSchoolofGary,4164,***,***,--,***,***,--,***,***,9,11,***,***,***,***,--,20,--,--,--
AcademyforInnovativeStudies,8270,--,4,10,4,10,--,--,14,***,***,***,***,8,6,9,5,***,--,***
AchieveVirtualEducationAcademy,5288,--,***,***,***,***,--,***,***,***,***,--,4,--,4,4,***,***,--,***
AdamsCentralHighSchool,0021,30,29,4,***,***,***,***,23,48,15,13,50,9,54,59,--,***,***,***
AdamsHighSchool,7505,129,97,7,10,223,20,21,192,115,118,60,173,98,135,133,50,25,8,17
AlexandriaMonroeHighSchool,5041,32,31,0,***,***,19,28,16,38,25,18,45,14,49,62,***,***,--,--
AndersonChristianSchool,C250,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
AndersonHighSchool,4945,68,68,24,19,141,16,37,107,95,65,56,104,94,66,95,49,10,--,6
AndersonPreparatoryAcademy,5092,23,11,--,***,***,--,11,23,27,7,11,23,15,19,16,11,***,***,***
AndreanHighSchool,B760,***,79,***,***,***,28,19,85,35,97,13,119,--,132,83,30,11,***,***
AngolaHighSchool,7893,58,41,5,7,97,33,22,49,50,54,21,83,23,81,93,***,6,***,***
ArgosCommJrSrHighSchool,5937,17,***,***,--,26,***,***,8,13,13,***,***,7,19,***,--,--,--,***
ArlingtonCommunityHighSchool,5465,--,***,***,***,***,--,***,***,--,14,***,***,14,--,***,***,--,--,--
ArsenalTechnicalHighSchool,5469,***,112,***,4,148,24,45,83,62,90,55,97,97,55,23,88,30,***,***
AtticaHighSchool,2053,***,24,***,***,***,***,***,18,29,15,9,35,13,31,41,--,***,***,***
AustinHighSchool,7629,21,24,4,***,***,--,--,49,42,7,13,36,24,25,47,--,***,--,***
AvonHighSchool,2737,338,163,6,13,494,229,78,200,344,163,51,456,99,408,360,58,33,28,28
BarrReeveMiddleHighSchool,1069,27,***,***,--,42,***,***,32,19,23,14,28,***,***,***,--,--,***,--
BatesvilleHighSchool,7217,74,36,3,***,***,18,31,64,107,6,10,103,13,100,108,--,***,***,***
BeaconAcademy,8411,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
BedfordNorthLawrenceHighSchool,4911,112,60,35,3,204,32,76,99,106,101,39,168,50,157,194,--,***,***,7
BeechGroveSrHighSchool,5449,45,63,6,3,111,14,46,54,69,45,27,87,41,73,93,***,***,***,8
BellmontSeniorHighSchool,0029,72,28,7,***,***,19,40,48,97,10,33,74,19,88,93,***,10,***,***
BenDavisHighSchool,5213,229,222,17,41,427,86,172,210,319,149,,252,306,162,146,213,76,***,***
BenDavisUniversityHighSchool,5447,47,31,--,***,***,--,--,78,***,***,49,29,55,23,23,34,10,***,***
BenjaminBosseHighSchool,8237,22,42,3,2,65,--,***,***,42,25,13,54,39,28,32,21,***,--,***
BentonCentralJrSrHighSchool,0445,37,40,5,***,***,14,34,34,57,25,18,64,28,54,76,***,3,--,***
BethanyChristianSch,B015,18,***,***,--,29,14,7,8,15,14,***,***,***,***,19,--,***,***,--
BethesdaChristianSchool,B290,10,8,--,--,18,***,***,***,***,***,--,18,--,18,18,--,--,--,--
BishopChatardHighSchool,C705,97,***,***,***,***,61,59,34,92,62,***,***,9,145,134,12,***,***,***
BishopDwengerHighSchool,A120,146,***,***,***,***,71,21,134,151,75,32,194,18,208,204,***,11,***,***
BishopLuersHighSchool,A125,48,54,6,***,***,25,20,63,63,45,10,98,20,88,87,10,***,***,***
BishopNollInstitute,B970,39,74,--,***,***,***,***,67,59,54,11,102,24,89,34,26,49,***,***
BlackfordHighSchool,0489,39,29,2,1,69,***,***,40,51,19,24,46,21,49,67,,***,--,***
BlackhawkChristianMdlHighSch,A170,31,29,--,--,60,15,15,30,***,***,***,***,--,60,58,,--,--,***
BloomfieldJrSrHighSchool,2419,***,21,***,--,42,--,***,***,35,7,10,32,14,28,39,--,***,--,***
BloomingtonGraduationSchool,6220,--,***,***,***,***,--,--,6,***,***,***,***,***,***,6,***,***,--,--
BloomingtonHighSchoolNorth,6168,113,122,23,7,251,86,45,127,165,93,55,203,56,202,204,11,15,13,15
BloomingtonHighSchoolSouth,6166,220,76,13,7,302,114,84,111,217,92,43,266,50,259,259,7,10,17,16
BlueRiverValleyJrSrHighSchool,2801,***,19,***,***,***,***,***,16,18,8,***,***,5,21,25,--,***,--,***
BlufftonHighSchool,9089,42,26,0,***,***,***,***,63,56,12,9,59,13,55,62,***,***,***,***
BookerTWashingtonAltSch,8611,--,***,***,***,***,***,***,5,***,***,***,***,***,***,4,--,***,--,***
BooneGroveHighSchool,6838,27,52,1,--,80,***,***,76,59,21,11,69,13,67,68,***,8,***,***
BoonvilleHighSchool,8789,44,72,11,0,127,17,32,78,83,44,26,101,41,86,126,--,***,--,***
BremenSeniorHighSchool,5941,49,44,4,***,***,10,18,69,76,21,23,74,23,74,81,***,11,***,***
BroadRippleMagnetHighSchoolforPrfmArts,5477,***,44,***,***,***,***,40,***,15,55,44,26,50,20,14,47,***,--,***
BrownCountyHighSchool,0573,30,34,7,***,***,25,9,37,48,23,27,44,29,42,67,--,***,***,***
BrownsburgHighSchool,2709,315,***,***,4,418,154,89,179,330,92,55,367,76,346,327,51,16,12,16
BrownstownCentralHighSchool,3126,46,33,2,***,***,11,19,51,80,1,22,59,20,61,79,--,***,--,***
BurrisLaboratorySchool,1441,28,***,***,--,45,20,17,8,27,18,13,32,***,***,37,***,***,***,***
CalumetChristianSchool,B815,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
CalumetNewTechHighSchool,3869,19,48,--,8,59,--,31,36,30,37,34,33,54,13,17,36,***,--,***
CalvaryChristianSchool,C580,***,***,--,--,11,***,***,***,--,11,--,11,***,***,9,--,***,--,***
CanneltonElemHighSchool,6733,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
CardinalRitterHighSchool,C715,62,44,--,***,***,35,26,45,71,35,10,96,19,87,72,13,10,***,***
CareerAcademyHighSchool,7564,***,***,--,***,***,***,--,***,4,6,***,***,***,***,8,***,***,--,***
CarmelHighSchool,2505,618,352,21,6,985,505,134,352,754,237,36,955,70,921,786,32,20,110,43
CarrollHighSchool,0091,196,183,13,***,***,170,36,186,269,123,34,358,51,341,342,13,9,10,18
CarrollSeniorHighSchool,0621,22,25,1,***,***,***,***,26,46,2,9,39,10,38,45,--,***,--,***
CascadeSeniorHighSchool,2692,***,16,***,***,***,16,13,31,54,6,6,54,4,56,59,--,--,***,***
CastleHighSchool,8809,153,172,16,15,326,86,41,214,201,140,32,309,47,294,303,***,***,12,15
CastonJrSrHighSchool,2159,16,25,3,***,***,***,***,31,40,4,12,32,10,34,43,--,***,--,***
CathedralHighSchool,C700,168,110,--,--,278,133,72,73,79,199,14,264,--,278,229,25,***,***,10
CenterGroveHighSchool,3437,221,182,10,3,410,153,81,179,296,117,18,395,28,385,389,***,8,***,5
CentervilleSrHighSchool,8981,30,33,5,***,***,***,***,49,49,19,24,44,19,49,65,--,--,***,***
CentralChristianAcademy,C575,***,***,***,***,***,***,***,***,***,***,--,7,***,***,***,--,--,--,***
CentralHighSchool,8241,62,61,19,2,140,21,42,79,101,41,29,113,57,85,113,12,***,***,11
CentralNobleJuniorSeniorHS,6453,22,30,3,1,54,***,***,26,34,21,14,41,12,43,53,--,***,***,***
CharlesATindleyAcceleratedSch,6208,13,11,--,--,24,--,--,24,--,24,***,***,24,--,--,24,--,--,--
CharlestownSeniorHighSchool,0821,46,43,6,2,93,10,25,60,70,25,27,68,34,61,78,***,11,--,***
ChestertonSeniorHighSchool,6925,153,154,11,4,314,88,21,209,216,102,22,296,40,278,268,***,34,***,6
ChristelHouseAcademySouth,5874,9,8,--,--,17,--,--,17,***,***,10,7,***,***,8,***,***,--,***
ChristelHouseDORSSouth,5532,--,***,***,***,***,--,--,7,--,7,***,***,***,***,***,***,3,--,***
ChristianAcademyofIndiana,B045,24,***,***,--,43,22,13,8,28,15,***,***,--,43,37,--,***,***,***
ChristianAcademyofMadison,B493,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ChurubuscoJrSrHighSchool,9193,***,32,***,***,***,***,***,45,38,20,11,47,10,48,56,--,***,--,***
ClarksvilleSeniorHighSchool,0833,***,24,***,***,***,***,***,33,38,8,20,26,24,22,34,***,***,--,***
ClayCityJrSrHighSchool,0897,***,26,***,***,***,***,***,33,43,9,19,33,13,39,51,--,***,--,***
ClayHighSchool,7421,40,83,18,8,133,10,40,91,91,50,20,121,70,71,71,40,***,***,14
ClintonCentralJuniorSeniorHighSchool,0957,22,29,2,***,***,***,***,32,30,23,8,45,12,41,***,--,***,--,--
ClintonChristianSchool,A875,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ClintonPrairieJrSrHighSchool,0977,12,16,3,--,31,***,***,15,19,12,***,***,***,***,30,--,***,--,***
CloverdaleHighSchool,7077,17,20,1,***,***,***,***,19,30,8,13,25,15,23,37,***,--,--,***
ColonialChristianSchool,C495,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ColumbiaCityHighSchool,9187,75,59,5,4,135,17,36,86,105,34,38,101,28,111,131,***,***,***,***
ColumbusChristianSchoolInc,A450,***,***,***,--,13,--,--,13,***,***,***,***,--,13,13,--,--,--,--
ColumbusEastHighSchool,0399,137,75,3,7,208,70,41,104,193,22,32,183,42,173,191,***,8,***,10
ColumbusNorthHighSchool,0397,231,106,4,12,329,141,56,144,335,6,63,278,51,290,285,***,14,***,23
CommunityMontessori,1536,***,17,***,***,***,--,--,21,14,7,***,***,***,***,18,***,--,--,***
CommunityYouthServices,9056,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ConcordCommunityHighSchool,1715,118,98,7,10,213,52,90,81,52,171,97,126,79,144,142,***,41,***,22
ConcordiaLutheranHighSchool,A195,***,55,***,***,***,54,22,53,61,68,12,117,--,129,115,***,***,***,***
ConnersvilleSrHighSchool,1889,63,79,10,***,***,***,***,139,121,31,66,86,57,95,147,***,***,***,***
CorydonCentralHighSchool,2640,41,48,3,***,***,20,30,42,79,13,19,73,22,70,86,***,***,--,***
CovenantChristianHighSchool,B469,11,13,--,--,24,--,--,24,11,13,***,***,--,24,***,--,***,--,--
CovenantChristianHighSchool,C527,42,***,***,***,***,38,***,***,30,38,***,***,***,***,60,***,--,***,***
CovingtonCommunityHighSchool,2005,***,24,***,***,***,***,***,36,36,9,8,37,13,32,42,--,--,***,***
CowanHighSchool,1386,***,31,***,***,***,***,***,33,26,17,***,***,8,35,***,--,***,--,--
CrawfordCountyJrSrHighSchool,1059,23,38,0,***,***,12,29,20,47,14,23,38,26,35,57,--,***,--,***
CrawfordsvilleSrHighSchool,6277,39,34,6,4,75,20,19,40,70,9,21,58,29,50,64,***,9,***,***
CrispusAttucksMedicalMagnetHighSchool,5473,45,27,--,***,***,***,54,***,34,38,47,25,55,17,***,47,15,--,***
CrothersvilleJrSrHighSchool,3121,***,***,--,--,9,--,--,9,***,***,6,3,***,***,9,--,--,--,--
CrownPointHighSchool,3901,234,211,4,7,442,185,80,184,383,66,30,419,54,395,363,***,47,***,14
CulverCommunityHighSchool,5245,***,20,***,***,***,***,***,19,22,11,13,20,15,18,25,***,***,--,***
DalevilleJrSrHighSchool,1401,***,16,***,--,32,--,12,20,20,12,***,***,9,23,30,***,--,***,--
DanvilleCommunityHighSchool,2741,80,49,6,***,***,15,20,100,128,7,15,120,16,119,125,***,***,***,***
DecaturCentralHighSchool,5177,81,98,8,7,180,57,57,73,127,60,36,151,80,107,138,26,14,***,***
DecaturTownshipSchoolforExcellence,5188,***,***,13,3,17,***,***,19,5,15,***,***,10,10,16,3,***,***,***
DeKalbHighSchool,1345,78,88,9,5,170,66,29,80,129,46,34,141,37,138,165,***,***,***,***
DelphiCommunityHighSchool,0637,36,28,1,1,64,***,***,36,52,13,20,45,27,38,***,--,***,--,--
DeltaHighSchool,1369,66,50,15,***,***,***,--,***,115,16,34,97,35,96,127,***,***,***,***
DonaldEGavitMiddleHighSchool,4413,***,59,***,6,86,22,43,27,32,60,37,55,66,26,18,35,36,***,***
EastCentralHighSchool,7213,125,82,6,4,209,42,67,104,170,43,21,192,20,193,211,***,--,--,***
EastChicagoCentralHighSchool,3924,20,57,8,5,80,11,26,48,54,31,29,56,74,11,***,30,51,--,***
EastNobleHighSchool,6458,67,55,0,2,120,37,40,45,92,30,28,94,19,103,112,***,7,--,***
EastbrookHighSchool,2293,47,35,1,0,83,22,16,45,68,15,15,68,12,71,79,***,--,***,***
EasternGreeneHighSchool,2435,22,37,5,***,***,17,19,28,58,6,26,38,16,48,62,--,***,--,***
EasternHancockHighSchool,2585,29,30,4,***,***,10,12,41,42,21,16,47,12,51,***,--,***,--,--
EasternHighSchool,8905,26,23,0,***,***,***,***,26,43,6,14,35,14,35,45,***,***,***,***
EasternHighSchool,2919,39,29,3,***,***,17,29,25,43,28,17,54,10,61,67,***,***,***,--
EastsideJuniorSeniorHighSchool,1317,38,22,7,3,64,--,***,***,48,19,14,53,22,45,60,***,***,***,***
EdgewoodHighSchool,6146,63,53,8,***,***,17,29,78,95,29,34,90,25,99,115,***,***,***,***
EdinburghCommunityHighSchool,3447,***,21,***,***,***,***,***,18,24,7,11,20,13,18,29,--,***,--,***
ElkhartCentralHighSchool,1749,82,90,10,9,173,70,53,59,129,53,47,135,84,98,109,13,46,***,***
ElkhartChristianAcademy,A990,***,13,***,--,29,***,***,15,***,***,***,***,--,29,26,***,***,--,***
ElkhartMemorialHighSchool,1750,65,127,9,11,190,27,80,94,124,77,44,157,95,106,108,***,47,***,24
ElwoodJrSrHighSchool,5149,21,16,4,2,39,***,***,15,27,14,10,31,14,27,39,--,***,--,***
EmanSchools,B160,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
EminenceJrSrHighSchool,6325,***,10,***,***,***,***,***,8,10,9,8,11,***,***,19,--,--,--,--
EmmerichManualHighSchool,5481,***,12,***,***,***,***,***,11,***,***,9,12,5,16,14,3,***,--,***
EvansvilleDaySchool,D525,22,***,***,***,***,16,***,***,***,***,--,24,--,24,22,***,--,***,--
ExcelCenterForAdultLearners,5669,--,50,4,4,50,***,***,53,21,33,***,***,44,10,15,35,1,***,***
FairfieldJrSrHighSchool,1613,52,21,4,***,***,39,14,24,47,30,26,51,11,66,71,***,***,***,***
FaithChristianSchool,D452,***,17,***,***,***,13,9,8,14,16,***,***,--,30,24,***,***,***,***
FallCreekAcademy,5870,***,11,***,***,***,--,--,14,***,***,***,***,14,--,***,12,--,--,***
FishersChristianAcademy,B161,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FishersHighSchool,2487,278,184,11,3,470,219,103,151,196,277,26,447,63,410,380,34,21,20,18
FloydCentralHighSchool,1930,155,103,27,10,275,177,44,64,227,58,19,266,24,261,270,***,***,***,8
ForestParkJrSrHighSchool,1583,47,19,5,***,***,***,***,38,52,19,15,56,10,61,***,--,***,--,--
FountainCentralHighSchool,2022,21,29,4,3,51,***,***,35,40,14,19,35,19,35,51,--,***,--,***
FrancisJosephReitzHighSchool,8245,108,76,8,6,186,14,51,127,161,31,30,162,50,142,169,14,***,***,***
FrankfortSeniorHighSchool,0997,41,42,0,2,81,12,36,35,69,14,34,49,41,42,51,***,28,***,***
FranklinCentralHighSchool,5193,179,171,7,8,349,156,102,99,114,243,61,296,93,264,292,19,19,15,12
FranklinCommunityHighSchool,3445,104,98,27,8,221,51,72,106,157,72,38,191,62,167,209,***,10,***,***
FranklinCountyHighSchool,2083,59,44,2,1,104,***,***,68,78,27,26,79,20,85,102,--,***,--,***
FranktonJrSrHighSchool,5005,28,40,5,***,***,***,***,46,31,42,***,***,22,51,69,--,***,--,***
FremontHighSchool,7877,26,16,1,***,***,***,***,33,38,5,8,35,11,32,39,--,***,--,***
FrontierJrSrHighSchool,9137,11,21,1,***,***,***,***,25,29,4,12,21,9,24,31,--,***,--,***
GarrettHighSchool,1325,29,38,3,***,***,12,20,38,52,18,21,49,21,49,62,***,***,--,***
GaryLighthouseCharterSchool,4130,9,37,--,5,41,***,***,43,28,18,17,29,37,9,***,42,***,--,***
GaryMiddleCollege,4027,--,***,***,***,***,--,--,14,***,***,***,***,9,5,***,11,***,--,***
GatewayWoodsSchool,A352,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
GeorgeRogersClarkMiddleHighSchool,4411,***,60,***,2,102,22,43,39,60,44,40,64,84,20,13,11,79,***,***
GeorgeWashingtonCommunityHighSchool,5643,***,25,***,7,19,***,***,19,10,16,9,17,18,8,***,10,11,--,***
GibsonSouthernHighSchool,2211,55,53,6,***,***,***,***,107,79,35,16,98,12,102,113,--,***,***,***
GoshenHighSchool,1821,113,97,8,4,214,33,12,173,140,78,53,165,90,128,120,***,90,***,***
GrangerChristianSchool,D310,***,--,***,--,12,***,***,9,***,***,--,12,--,12,***,--,--,--,***
GreencastleSeniorHighSch,7089,38,43,7,5,83,19,33,36,59,29,19,69,29,59,79,***,***,***,***
GreenfieldCentralHighSchool,2595,121,62,7,4,186,49,65,76,118,72,22,168,31,159,179,***,***,***,***
GreensburgCommunityHighSchool,1268,43,26,7,4,72,26,18,32,67,9,23,53,20,56,73,--,***,***,***
GreenwoodChristianAcademy,C966,17,***,***,--,25,***,10,***,16,9,***,***,--,25,23,--,***,***,--
