School,ID,Diploma_Honors_EC,Diploma_Core40_EC,Diploma_General_EC,Waiver_Yes_EC,Waiver_No_EC,AP_Passed_EC,AP_NotPassed_EC,AP_NotTaken_EC,DualCredit_Yes_EC,DualCredit_No_EC,21Century_Yes_EC,21Century_No_EC,LunchFR_Yes_EC,LunchFR_No_EC,Race_White_EC,Race_Black_EC,Race_Hispanic_EC,Race_Asian_EC,Race_Other_EC,Yyear
BedfordNorthLawrenceHighSchool,4911,112,72,38,1,221,11,49,162,78,144,,172,65,157,219,***,***,***,***,2014
BeechGroveSrHighSchool,5449,38,43,1,2,80,25,26,31,39,43,56,60,35,47,70,6,***,--,***,2014
BellmontSeniorHighSchool,0029,71,30,6,1,106,11,10,86,87,20,78,82,25,82,93,***,9,***,***,2014
BenDavisHighSchool,5213,206,214,22,34,408,61,115,266,285,157,,270,276,166,147,200,60,***,***,2014
BenDavisUniversityHighSchool,5447,30,37,--,***,***,--,--,67,***,***,35,31,41,26,23,22,13,***,***,2014
BenjaminBosseHighSchool,8237,27,66,11,11,93,***,***,90,60,44,42,73,61,43,49,42,***,--,***,2014
BentonCentralJrSrHighSchool,0445,39,37,4,***,***,9,29,42,61,19,45,59,20,60,74,***,***,***,--,2014
BethanyChristianSch,B015,13,8,--,--,21,14,***,***,***,***,18,***,***,***,17,--,***,***,***,2014
BethesdaChristianSchool,B290,***,7,***,***,***,***,***,8,--,14,7,14,--,14,***,--,***,--,--,2014
BishopChatardHighSchool,C705,103,***,***,***,***,49,41,55,101,44,,***,***,***,128,***,***,***,***,2014
BishopDwengerHighSchool,A120,124,***,***,***,***,80,21,105,124,82,,178,26,180,187,***,9,***,***,2014
BishopLuersHighSchool,A125,***,53,***,***,***,31,13,56,52,48,60,87,15,85,88,***,***,***,***,2014
BishopNollInstitute,B970,42,55,--,***,***,***,***,66,52,45,43,82,26,71,33,27,31,***,***,2014
BlackfordHighSchool,0489,39,31,7,***,***,--,18,59,55,22,39,52,24,53,***,,--,--,***,2014
BlackhawkChristianMdlHighSch,A170,***,25,***,***,***,***,***,32,***,***,29,***,***,***,45,,***,***,***,2014
BloomfieldJrSrHighSchool,2419,***,24,***,***,***,***,***,37,42,5,20,38,5,42,41,--,***,***,***,2014
BloomingtonGraduationSchool,6220,***,***,***,***,***,--,--,3,***,***,***,***,***,***,1,***,--,--,***,2014
BloomingtonHighSchoolNorth,6168,141,91,17,5,244,62,16,171,187,62,,220,39,210,201,***,13,***,19,2014
BloomingtonHighSchoolSouth,6166,204,83,20,12,295,80,41,186,203,104,,257,63,244,254,***,***,20,22,2014
BlueRiverValleyJrSrHighSchool,2801,***,8,***,***,***,--,***,***,14,7,12,***,***,***,***,--,***,--,--,2014
BlufftonHighSchool,9089,24,17,2,***,***,***,--,***,31,12,18,34,15,28,40,--,***,--,***,2014
BookerTWashingtonAltSch,8611,--,***,***,***,***,--,--,9,***,***,***,9,***,***,8,--,***,--,***,2014
BooneGroveHighSchool,6838,31,50,3,***,***,***,***,77,51,33,48,74,9,75,81,***,***,--,***,2014
BoonvilleHighSchool,8789,35,67,13,6,109,***,***,91,66,49,54,95,27,88,112,--,***,***,***,2014
BrebeufJesuitPreparatorySchool,C360,141,33,--,--,174,110,25,39,23,151,,***,--,174,143,16,***,***,***,2014
BremenSeniorHighSchool,5941,28,48,4,--,80,***,***,66,51,29,33,64,16,64,67,--,12,***,***,2014
BroadRippleMagnetHighSchoolforPrfmArts,5477,***,52,***,***,***,***,***,44,14,68,25,33,72,10,9,63,8,***,***,2014
BrownCountyHighSchool,0573,35,49,10,***,***,18,11,65,64,30,50,64,31,63,92,***,--,***,***,2014
BrownsburgHighSchool,2709,303,***,***,3,414,139,66,212,326,91,,375,52,365,363,23,15,***,***,2014
BrownstownCentralHighSchool,3126,47,29,4,***,***,11,18,51,74,6,60,60,13,67,76,--,***,--,***,2014
BurrisLaboratorySchool,1441,22,***,***,--,37,10,17,10,***,***,30,26,8,29,33,***,--,***,***,2014
CalumetChristianSchool,B815,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
CalumetNewTechHighSchool,3869,***,41,***,5,46,***,***,34,20,31,11,28,37,14,19,19,10,***,***,2014
CalvaryChristianSchool,C580,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
CanneltonElemHighSchool,6733,***,***,***,***,***,--,--,9,***,***,***,***,***,***,***,***,--,--,--,2014
CardinalRitterHighSchool,C715,60,***,***,***,***,31,28,48,62,45,59,90,28,79,62,21,13,***,***,2014
CareerAcademyHighSchool,7564,***,5,***,***,***,--,--,7,***,***,***,***,***,***,5,***,***,--,***,2014
CarmelHighSchool,2505,580,378,29,6,981,311,35,641,746,241,,951,77,910,787,34,24,106,36,2014
CarrollHighSchool,0091,187,143,21,***,***,111,25,215,221,130,,328,33,318,307,***,13,***,16,2014
CarrollSeniorHighSchool,0621,24,19,2,--,45,***,***,27,39,6,32,37,12,33,39,--,***,--,***,2014
CascadeSeniorHighSchool,2692,52,27,5,***,***,***,***,72,70,14,50,66,21,63,80,***,--,***,***,2014
CastleHighSchool,8809,165,158,15,14,324,44,34,260,204,134,,322,46,292,298,***,10,***,13,2014
CastonJrSrHighSchool,2159,9,9,4,2,20,***,***,19,16,6,***,17,8,14,22,--,***,--,***,2014
CathedralHighSchool,C700,133,139,--,--,272,117,63,92,33,239,,257,--,272,228,21,***,***,8,2014
CenterGroveHighSchool,3437,214,185,8,2,405,118,72,217,297,110,,380,31,376,379,***,11,11,***,2014
CentervilleSrHighSchool,8981,29,43,5,***,***,***,***,60,57,20,46,57,15,62,71,***,***,--,***,2014
CentralCatholicJrSrHighSch,D415,43,14,--,--,57,***,***,42,38,19,41,***,***,***,***,--,--,--,***,2014
CentralChristianAcademy,C575,***,***,--,--,6,***,6,***,--,6,***,6,***,***,4,***,***,--,--,2014
CentralHighSchool,8241,88,70,33,13,178,27,17,147,139,52,98,152,69,122,160,20,***,***,7,2014
CentralNobleJuniorSeniorHS,6453,14,23,1,4,34,***,***,20,26,12,19,22,6,32,36,--,***,--,***,2014
CharlesATindleyAcceleratedSch,6208,16,12,--,--,28,--,--,28,--,28,24,17,17,11,--,28,--,--,--,2014
CharlestownSeniorHighSchool,0821,42,49,4,***,***,11,24,60,67,28,29,79,32,63,87,***,5,--,***,2014
ChestertonSeniorHighSchool,6925,162,178,6,2,344,62,20,264,209,137,,315,45,301,306,***,27,***,***,2014
ChristelHouseAcademySouth,5874,***,***,--,--,15,--,--,15,11,4,***,***,***,***,***,***,6,--,***,2014
ChristelHouseDORSSouth,5532,--,1,--,***,***,--,--,1,***,***,***,1,***,***,1,--,***,--,***,2014
ChristianAcademyofIndiana,B045,***,15,***,***,***,***,***,19,19,12,21,31,--,31,26,***,***,***,***,2014
ChristianAcademyofMadison,B493,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
ChurubuscoJrSrHighSchool,9193,16,28,1,***,***,***,***,34,16,29,24,***,8,37,44,--,***,***,***,2014
ClarksvilleSeniorHighSchool,0833,13,26,2,***,***,***,***,37,30,11,22,34,16,25,33,***,***,--,***,2014
ClayCityJrSrHighSchool,0897,***,19,***,***,***,--,10,24,27,7,18,24,9,25,32,--,***,***,--,2014
ClayHighSchool,7421,48,101,20,14,155,9,26,134,101,68,72,141,69,100,103,50,***,***,10,2014
ClintonCentralJuniorSeniorHighSchool,0957,23,20,3,***,***,***,***,33,34,12,26,34,7,39,46,--,***,--,***,2014
ClintonChristianSchool,A875,***,***,***,***,***,--,--,3,***,***,***,3,--,3,3,--,--,--,--,2014
ClintonPrairieJrSrHighSchool,0977,14,23,2,--,39,***,***,22,26,13,23,***,6,33,38,--,***,--,***,2014
CloverdaleHighSchool,7077,21,16,2,***,***,***,***,25,21,18,16,24,17,22,36,--,***,***,***,2014
ColonialChristianSchool,C495,***,--,***,***,***,--,--,8,--,8,***,8,--,8,8,--,--,--,--,2014
ColumbiaCityHighSchool,9187,102,49,5,***,***,22,15,119,112,44,92,132,24,132,147,***,***,***,***,2014
ColumbusChristianSchoolInc,A450,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
ColumbusEastHighSchool,0399,171,76,0,7,240,57,37,153,211,36,,219,34,213,218,***,6,***,12,2014
ColumbusNorthHighSchool,0397,173,96,2,12,259,82,35,154,249,22,,238,46,225,234,***,12,14,***,2014
CommunityMontessori,1536,***,9,***,***,***,--,--,13,9,4,***,13,***,***,***,--,--,--,***,2014
CommunityYouthServices,9056,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
ConcordCommunityHighSchool,1715,81,84,15,8,172,42,39,99,31,149,89,149,67,113,117,14,36,--,13,2014
ConcordiaLutheranHighSchool,A195,79,***,***,***,***,48,30,44,42,80,76,110,14,108,99,11,***,***,9,2014
ConnersvilleSrHighSchool,1889,68,67,15,3,147,***,***,131,110,40,76,80,60,90,142,***,***,***,***,2014
CorydonCentralHighSchool,2640,49,39,6,6,88,15,29,50,75,19,57,78,25,69,90,--,***,***,4,2014
CovenantChristianHighSchool,B469,***,9,***,--,22,--,--,22,***,***,--,***,***,***,***,--,--,--,***,2014
CovenantChristianHighSchool,C527,33,***,***,--,53,***,***,31,34,19,43,***,***,***,47,***,***,***,--,2014
CovingtonCommunityHighSchool,2005,***,24,***,***,***,***,***,28,22,10,11,26,7,25,***,--,***,--,--,2014
CowanHighSchool,1386,***,24,***,***,***,***,--,***,20,16,19,***,9,27,***,--,--,--,***,2014
CrawfordCountyJrSrHighSchool,1059,***,38,***,***,***,14,14,29,45,12,27,37,34,23,56,--,***,--,***,2014
CrawfordsvilleSrHighSchool,6277,47,28,5,3,77,20,26,34,64,16,49,55,23,57,67,***,***,***,***,2014
CrispusAttucksMedicalMagnetHighSchool,5473,34,27,--,***,***,--,47,14,26,35,29,31,41,20,***,46,9,--,***,2014
CrossingEducationalCenter,B009,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
CrothersvilleJrSrHighSchool,3121,12,9,--,***,***,--,--,21,***,***,7,15,3,18,21,--,--,--,--,2014
CrownPointHighSchool,3901,251,221,4,9,467,153,56,267,389,87,,443,50,426,403,***,51,***,8,2014
CulverCommunityHighSchool,5245,***,15,***,***,***,--,***,***,22,4,8,14,10,16,22,***,***,--,***,2014
DalevilleJrSrHighSchool,1401,***,25,***,***,***,***,***,32,25,17,21,33,12,30,40,--,***,***,--,2014
DanvilleCommunityHighSchool,2741,77,45,7,***,***,13,11,105,127,2,84,115,21,108,120,--,***,***,***,2014
DecaturCentralHighSchool,5177,62,123,16,12,189,23,24,154,110,91,71,163,98,103,156,25,13,***,***,2014
DecaturTownshipSchoolforExcellence,5188,***,4,***,--,12,***,--,***,9,3,***,***,***,***,11,***,--,--,***,2014
DeKalbHighSchool,1345,69,81,8,1,157,48,13,97,109,49,99,129,36,122,151,--,***,***,***,2014
DelphiCommunityHighSchool,0637,52,22,2,***,***,***,***,45,69,7,42,60,16,60,73,***,***,--,***,2014
DeltaHighSchool,1369,64,52,20,***,***,--,--,136,115,21,89,104,39,97,127,***,***,***,***,2014
DonaldEGavitMiddleHighSchool,4413,***,52,***,5,81,13,33,40,33,53,26,56,67,19,***,34,28,--,***,2014
EastCentralHighSchool,7213,140,79,20,3,236,52,18,169,189,50,,217,28,211,235,--,***,--,***,2014
EastChicagoCentralHighSchool,3924,28,110,11,9,140,10,34,105,76,73,22,90,133,16,--,69,80,--,--,2014
EastNobleHighSchool,6458,108,67,4,7,172,43,44,92,123,56,,130,46,133,170,***,4,***,***,2014
EastbrookHighSchool,2293,***,43,***,***,***,17,19,43,53,26,45,48,16,63,76,***,--,--,***,2014
EasternGreeneHighSchool,2435,20,36,8,8,56,***,***,58,51,13,26,40,20,44,***,--,--,***,--,2014
EasternHancockHighSchool,2585,34,21,3,--,58,***,***,45,40,18,39,46,9,49,56,--,***,--,***,2014
EasternHighSchool,8905,33,28,3,4,60,***,***,57,52,12,34,45,31,33,62,--,--,***,***,2014
EasternHighSchool,2919,50,28,6,***,***,13,22,49,58,26,50,74,14,70,76,--,***,***,***,2014
EastsideJuniorSeniorHighSchool,1317,24,21,6,***,***,--,--,51,39,12,19,39,15,36,47,***,***,--,***,2014
EdgewoodHighSchool,6146,58,47,7,***,***,***,***,102,89,23,66,77,22,90,101,***,***,***,***,2014
EdinburghCommunityHighSchool,3447,13,16,2,***,***,***,***,19,24,7,10,25,17,14,***,--,--,--,***,2014
ElkhartCentralHighSchool,1749,67,110,15,5,187,56,46,90,101,91,97,138,96,96,100,17,52,***,***,2014
ElkhartChristianAcademy,A990,***,19,***,--,39,***,***,31,***,***,29,***,--,39,34,--,***,***,***,2014
ElkhartMemorialHighSchool,1750,64,111,8,14,169,31,49,103,90,93,81,147,79,104,114,***,36,***,17,2014
ElwoodJrSrHighSchool,5149,22,24,5,2,49,***,***,43,40,11,23,35,13,38,45,--,***,--,***,2014
EmanSchools,B160,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
EminenceJrSrHighSchool,6325,***,7,***,***,***,***,***,8,4,10,***,***,5,9,14,--,--,--,--,2014
EmmerichManualHighSchool,5481,***,16,***,***,***,***,***,14,***,***,***,13,17,5,9,***,3,--,***,2014
EvansvilleDaySchool,D525,***,***,--,--,10,***,--,***,***,***,***,***,--,10,***,--,--,***,--,2014
ExcelCenterForAdultLearners,5669,--,54,5,8,51,--,--,59,16,43,3,53,46,13,10,45,2,***,***,2014
FairfieldJrSrHighSchool,1613,44,33,5,***,***,37,15,30,41,41,58,64,10,72,76,--,***,***,***,2014
FaithChristianSchool,D452,19,***,***,--,35,23,***,***,8,27,31,***,--,35,29,***,***,***,***,2014
FallCreekAcademy,5870,--,7,--,***,***,--,--,7,***,***,***,7,***,***,--,7,--,--,--,2014
FishersChristianAcademy,B161,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
FishersHighSchool,2487,250,181,8,4,435,153,59,227,141,298,,412,49,390,348,33,18,28,12,2014
FloydCentralHighSchool,1930,163,126,32,3,318,125,46,150,261,60,,303,27,294,302,***,***,***,***,2014
ForestParkJrSrHighSchool,1583,64,20,6,***,***,***,***,63,63,27,64,71,10,80,90,--,--,--,--,2014
FountainCentralHighSchool,2022,30,25,1,5,51,***,***,39,29,27,26,46,9,47,50,--,***,***,***,2014
FrancisJosephReitzHighSchool,8245,91,117,11,7,212,14,22,183,163,56,,183,64,155,196,12,***,***,6,2014
FrankfortSeniorHighSchool,0997,37,45,3,2,83,***,***,53,62,23,40,60,32,53,60,***,23,***,***,2014
FranklinCentralHighSchool,5193,186,194,4,6,378,137,113,134,123,261,,317,78,306,313,20,14,18,19,2014
FranklinCommunityHighSchool,3445,114,89,14,4,213,43,43,131,157,60,,181,36,181,209,***,***,***,***,2014
FranklinCountyHighSchool,2083,57,42,6,5,100,***,***,81,67,38,55,81,32,73,***,--,--,--,***,2014
FranktonJrSrHighSchool,5005,28,35,4,4,63,***,***,48,31,36,43,54,17,50,62,***,***,--,***,2014
FremontHighSchool,7877,37,16,2,***,***,--,--,55,41,14,31,44,15,40,50,--,***,***,***,2014
FrontierJrSrHighSchool,9137,15,15,3,***,***,***,***,21,22,11,20,***,7,26,33,--,--,--,--,2014
GarrettHighSchool,1325,40,30,2,***,***,13,20,39,43,29,47,53,25,47,65,***,***,***,5,2014
GaryLighthouseCharterSchool,4130,--,50,--,7,43,--,***,***,--,50,20,32,31,19,--,47,***,--,***,2014
GaryMiddleCollege,4027,--,9,--,--,9,--,--,9,***,***,--,***,***,***,***,***,--,--,--,2014
GatewayWoodsSchool,A352,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
GeorgeRogersClarkMiddleHighSchool,4411,29,61,1,3,88,9,24,58,34,57,22,65,71,20,15,13,60,***,***,2014
GeorgeWashingtonCommunityHighSchool,5643,***,26,***,2,33,***,--,***,27,8,7,19,30,5,***,9,14,--,***,2014
GibsonSouthernHighSchool,2211,52,44,11,***,***,***,***,98,63,44,68,96,9,98,103,--,***,***,***,2014
GoshenHighSchool,1821,87,96,10,4,189,10,14,169,110,83,92,140,97,96,102,***,72,***,***,2014
GrangerChristianSchool,D310,***,--,***,--,8,***,--,***,--,8,***,8,--,8,***,--,--,--,***,2014
GreencastleSeniorHighSch,7089,29,43,5,***,***,19,20,38,44,33,45,61,19,58,72,***,***,***,***,2014
GreenfieldCentralHighSchool,2595,133,77,2,1,211,34,68,110,154,58,,182,26,186,204,***,***,***,***,2014
GreensburgCommunityHighSchool,1268,41,29,1,***,***,10,32,29,61,10,44,52,21,50,69,--,***,--,***,2014
GreenwoodChristianAcademy,C966,23,***,***,--,39,***,***,36,24,15,25,39,--,39,37,--,***,***,--,2014
GreenwoodCommunityHighSchool,3473,67,83,6,***,***,***,--,***,112,44,92,139,36,120,146,***,***,***,***,2014
GriffithSeniorHighSchool,4173,39,78,10,5,122,11,24,92,62,65,55,104,48,79,71,***,31,--,***,2014
GuerinCatholicHighSchool,B249,115,38,--,***,***,--,--,153,***,***,,***,***,***,138,***,***,***,***,2014
HagerstownJrSrHighSchool,8985,***,24,***,***,***,--,9,34,29,14,22,30,14,29,***,--,--,--,***,2014
HamiltonCommunityHighSch,7885,***,9,***,***,***,--,***,***,7,17,14,***,4,20,***,--,--,--,***,2014
HamiltonHeightsHighSchool,2477,46,52,4,***,***,***,***,74,70,32,68,91,13,89,97,--,***,--,***,2014
HamiltonSoutheasternHighSchool,2499,339,240,25,9,595,194,99,311,211,393,,580,43,561,486,50,14,41,13,2014
HammondAcademyofScienceTechnology,4486,13,36,--,***,***,--,--,49,38,11,24,34,23,26,18,***,14,--,***,2014
HammondHighSchool,4415,15,57,7,17,62,***,***,49,34,45,9,54,63,16,***,43,25,***,5,2014
HanoverCentralHighSchool,3785,***,47,***,***,***,13,12,68,70,23,60,***,11,82,77,***,***,***,***,2014
HauserJrSrHighSchool,0410,15,18,3,***,***,--,--,36,31,5,***,24,11,25,***,--,--,--,***,2014
HebronHighSchool,6813,17,29,2,***,***,9,11,28,33,15,16,38,14,34,43,***,***,--,***,2014
HenryvilleJrSrHighSchool,0765,***,14,***,2,33,***,***,29,29,6,15,25,9,26,***,--,--,--,***,2014
HeritageChristianSchool,C275,40,***,***,***,***,--,--,78,--,78,--,***,--,78,74,***,***,***,--,2014
HeritageHallChristianSchool,A746,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
HeritageHillsHighSchool,7759,58,35,2,***,***,13,13,69,80,15,66,81,14,81,89,--,***,--,***,2014
HeritageJrSrHighSchool,0081,41,23,7,2,69,***,***,61,41,30,33,61,16,55,56,8,***,***,***,2014
HerronHighSchool,5724,74,***,***,***,***,49,27,38,43,71,81,99,47,67,69,35,***,--,***,2014
HighlandHighSchool,4281,78,108,13,***,***,37,20,142,124,75,,176,61,138,138,13,39,***,***,2014
HobartHighSchool,4305,75,78,11,5,159,19,66,79,121,43,72,131,54,110,117,10,25,***,***,2014
HolyCrossSchool,D725,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
HomesteadSeniorHighSchool,0047,215,149,35,2,397,107,39,253,243,156,,367,32,367,326,19,16,19,19,2014
HoosierAcademyIndianapolis,2527,***,3,***,***,***,***,***,6,--,10,***,***,--,10,10,***,***,--,--,2014
HoosierAcademyVirtualCharterSchool,5290,***,12,***,***,***,--,***,***,***,***,***,***,***,***,16,***,***,--,***,2014
HopeAcademy,5292,--,***,***,***,***,--,--,3,***,***,***,3,***,***,3,--,--,--,--,2014
HorizonChristianAcademy,A309,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
HorizonChristianSchool,C282,***,***,--,--,14,--,--,14,***,***,--,***,--,14,9,***,--,--,***,2014
HoweSchool,B725,--,10,--,***,***,--,***,***,--,10,***,10,--,10,6,***,--,***,***,2014
HuntingtonNorthHighSchool,3065,110,77,14,0,201,43,37,121,133,68,,171,37,164,189,--,7,***,***,2014
INAcademyforScienceMathHumanities,1443,128,--,--,--,128,***,***,67,116,12,***,100,32,96,102,***,***,***,***,2014
IndianCreekSrHighSchool,3419,31,46,6,0,83,***,***,68,58,25,46,74,13,70,82,***,--,--,***,2014
IndianaAcademy,B190,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
IndianaChristianAcademy,C175,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
IndianaConnectionsAcademy,7944,15,89,--,4,100,--,--,104,11,93,6,84,32,72,95,***,***,***,***,2014
IndianaCyberCharterSchool,4421,--,***,***,***,***,--,--,7,***,***,--,***,***,***,7,***,--,***,--,2014
IndianaMathScienceAcademy,5837,***,***,--,***,***,***,***,12,8,8,***,***,10,6,***,11,***,--,***,2014
IndianaSchoolForTheBlind,C460,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
IndianaSchoolForTheDeaf,C695,***,8,***,***,***,--,--,9,***,***,***,9,***,***,***,--,***,--,--,2014
IndianaVirtualSchool,2488,--,2,--,***,***,--,--,2,***,***,***,2,--,2,***,***,***,--,***,2014
IndianapolisLighthouseCharterSchool,5523,***,16,***,***,***,--,12,17,15,14,***,20,22,7,7,19,***,--,***,2014
IndianapolisMetropolitanHighSchool,5664,***,26,***,2,30,***,***,28,12,20,11,18,26,6,4,25,***,--,***,2014
InternationalSchofINHS912,C677,20,--,--,--,20,--,--,20,--,20,17,***,--,20,10,***,***,***,***,2014
IrvingtonCommunitySchool,1537,14,23,--,***,***,***,***,24,27,10,12,26,19,18,24,8,***,--,***,2014
JacCenDelMSHS,7193,23,16,1,***,***,***,29,***,31,9,22,29,8,32,40,--,--,--,--,2014
JamesEDavisSchool,A480,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
JasperHighSchool,1593,109,85,4,***,***,48,50,100,91,107,,177,19,179,188,***,6,***,***,2014
JayCountyHighSchool,3239,66,66,8,5,135,10,23,107,100,40,67,93,50,90,134,--,***,***,***,2014
JeffersonHighSchool,8069,93,115,21,16,213,30,34,165,152,77,,167,116,113,132,30,52,***,***,2014
JeffersonvilleHighSchool,0849,94,137,14,8,237,55,82,108,177,68,,197,92,153,167,42,***,***,21,2014
JenningsCountyHighSchool,3345,64,83,19,12,154,11,19,136,158,8,75,107,58,108,161,***,***,--,***,2014
JimtownHighSchool,1701,28,27,6,2,59,***,***,50,43,18,34,***,10,51,59,***,***,--,***,2014
JohnGlennHighSchool,7453,***,46,***,***,***,31,16,41,57,31,52,60,38,50,77,***,***,--,***,2014
JohnMarshallCommunityHighSchool,5494,***,24,***,***,***,***,***,27,***,***,***,15,18,12,***,29,***,--,***,2014
JohnPaulIICatholicHighSch,D722,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
JointServiceCampusProgram,7467,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
KankakeeValleyHighSchool,3181,81,46,11,2,136,16,49,73,113,25,85,109,33,105,119,***,16,--,***,2014
KeyLearningCommunityHighSchool,5631,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
KingdomAcademyofBlufftonInc,D875,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
KnightstownHighSchool,2869,***,29,***,***,***,***,***,39,36,16,16,33,14,38,***,--,--,--,***,2014
KnoxCommunityHighSchool,7833,20,37,3,***,***,***,***,45,42,18,20,32,37,23,57,--,***,--,***,2014
KokomoHighSchool,3013,79,131,26,16,220,35,50,151,142,94,95,142,97,139,156,47,6,9,18,2014
KoutsMiddleHighSchool,6833,***,39,***,***,***,***,***,34,35,14,34,***,7,42,41,--,***,--,***,2014
LaCrosseSchool,4692,***,5,***,--,12,--,***,***,9,3,***,***,***,***,***,--,--,--,***,2014
LakeCentralHighSchool,3833,295,259,21,8,567,150,54,371,420,155,,542,85,490,448,32,60,22,13,2014
LakelandChristianAcademy,B595,***,***,--,***,***,--,--,8,***,***,***,***,--,8,***,--,***,--,--,2014
LakelandHighSchool,3730,36,41,2,***,***,***,***,62,61,18,42,53,24,55,69,--,***,--,***,2014
LakewoodParkChristianSch,A740,28,7,--,***,***,***,***,21,***,***,24,***,***,***,33,--,***,--,***,2014
LanesvilleJrSrHighSchool,2613,***,16,***,***,***,***,***,21,33,3,23,***,10,26,***,--,--,--,***,2014
LapelSrHighSchool,5011,35,33,4,***,***,***,***,70,51,21,50,62,13,59,67,--,***,--,***,2014
LaPorteHighSchool,4741,140,93,17,14,236,31,42,177,180,70,,223,67,183,209,***,23,***,10,2014
LaVilleJrSrHighSchool,7399,***,24,***,***,***,***,***,43,34,14,28,***,12,36,46,***,***,--,--,2014
LawrenceCentralHighSchool,5275,134,161,26,31,290,75,58,188,155,166,,259,124,197,133,144,18,***,***,2014
LawrenceNorthHighSchool,5276,176,190,23,32,357,61,78,250,180,209,,316,135,254,203,137,24,***,***,2014
LawrenceburgHighSchool,1177,41,41,3,***,***,--,***,***,81,4,43,63,24,61,76,***,***,***,***,2014
LebanonSeniorHighSchool,0553,63,54,6,4,119,21,28,74,92,31,82,107,23,100,111,***,***,***,***,2014
LeoJuniorSeniorHighSchool,0049,76,63,1,***,***,19,12,109,68,72,,131,11,129,129,***,***,***,***,2014
LewWallaceSciTechEngMath,4029,***,22,***,4,32,--,***,***,***,***,***,24,25,11,***,32,***,--,***,2014
LewisCassJrSrHighSchool,0689,19,30,5,1,53,***,***,29,36,18,27,45,12,42,49,--,***,***,***,2014
LibertyChristianSchool,C225,***,13,***,***,***,--,--,27,--,27,--,***,--,27,25,--,--,***,***,2014
LighthouseChristianAcademy,C927,***,***,--,--,10,***,***,***,***,***,10,***,--,10,10,--,--,--,--,2014
LincolnHighSchool,3553,45,46,22,5,108,***,***,104,66,47,34,81,44,69,98,***,***,***,***,2014
LincolnSrHighSch,8961,24,27,10,***,***,***,***,42,41,20,27,40,29,32,61,--,--,--,--,2014
LintonStocktonHighSchool,2437,17,29,8,--,54,10,10,34,19,35,33,45,15,39,52,--,***,***,--,2014
LogansportCommunityHighSchool,0701,78,72,4,5,149,11,22,121,132,22,77,118,59,95,116,***,27,***,***,2014
LoogooteeHighSchool,6003,18,28,7,***,***,--,--,53,27,26,14,45,15,38,***,--,--,--,***,2014
LowellSeniorHighSchool,3865,82,92,2,3,173,28,25,123,115,61,92,***,20,156,158,***,13,--,***,2014
LutheranHighSchool,C270,26,--,14,***,***,***,***,28,23,17,21,***,--,40,33,***,***,***,***,2014
MaconaquahHighSchool,6032,26,65,2,3,90,***,***,63,60,33,52,74,26,67,87,***,***,***,***,2014
MadisonConsolidatedHighSchool,3309,72,54,11,4,133,29,15,93,103,34,86,106,51,86,128,***,***,***,***,2014
MadisonGrantHighSchool,2321,35,29,2,***,***,***,***,52,46,20,29,45,20,46,65,--,***,--,***,2014
ManchesterJrSrHighSchool,8625,21,38,7,***,***,16,22,28,40,26,35,45,27,39,59,***,***,***,***,2014
MarianHighSchool,D165,78,***,***,***,***,16,21,110,88,59,,133,19,128,123,***,16,***,***,2014
MarionHighSchool,2351,50,79,10,14,125,13,12,114,113,26,61,68,69,70,69,45,***,***,14,2014
MarquetteCatholicHighSchool,C125,24,***,***,***,***,***,***,31,29,10,25,***,***,***,30,***,***,***,***,2014
MartinsvilleHighSchool,6329,88,120,7,2,213,78,31,106,155,60,,170,51,164,212,--,--,***,***,2014
MaterDeiHighSchool,D530,74,***,***,--,107,***,***,82,92,15,81,***,***,***,105,--,***,***,***,2014
McCutcheonHighSchool,8003,94,117,16,6,221,27,42,158,161,66,,192,51,176,192,5,25,***,***,2014
