School,ID,Ball State University,Indiana State University,University of Southern Indiana,IU-Bloomington,IU-East,IU-Kokomo,IU-Northwest,IU-Purdue University-Indianapolis,IU-South Bend,IU-Southeast,IU-Purdue University-Fort Wayne,PU-Calumet Campus,PU-North Central Campus,PU-Polytechnic Statewide,PU-West Lafayette,Ivy Tech Community College,Vincennes University
ShaweMemorialHighSchool,B505,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ShenandoahHighSchool,2817,10,1,3,2,0,0,0,3,0,0,1,0,0,0,3,22,4
SheridanHighSchool,2463,9,2,0,2,0,5,0,4,0,0,1,0,0,0,1,13,1
ShoalsCommJrSrHighSch,5985,0,1,6,1,0,0,0,2,0,2,0,0,0,0,1,1,9
ShortridgeHighSchool,5485,4,5,0,4,0,0,0,6,0,0,0,0,0,0,2,12,6
SignatureSchoolInc,8295,1,0,7,15,0,0,0,3,0,0,0,0,0,0,11,0,0
SilverCreekHighSchool,0777,1,0,3,10,0,0,0,3,0,40,0,0,0,3,2,32,4
SouthAdamsHighSchool,0023,5,0,1,4,0,0,0,0,0,0,8,0,0,0,2,9,0
SouthCentralJrSrHighSchool,4737,7,4,0,0,0,0,0,0,3,0,1,0,14,0,3,6,1
SouthCentralJrSrHighSchool,2670,1,0,1,1,0,1,0,0,0,10,0,0,0,1,0,3,1
SouthDearbornHighSchool,1179,6,0,0,4,0,0,0,4,0,1,0,0,0,1,7,35,3
SouthDecaturJrSrHighSchool,1263,3,2,0,0,0,0,0,9,0,0,0,0,0,1,1,5,1
SouthKnoxMiddleHighSchool,3490,0,5,3,6,0,0,0,0,0,0,0,0,0,0,2,0,37
SouthNewtonSeniorHighSch,6417,0,4,0,0,0,0,0,1,0,0,0,0,0,0,10,13,1
SouthPutnamHighSchool,7071,1,14,3,3,0,0,0,6,0,1,0,0,0,0,8,6,4
SouthRipleyHighSchool,7182,1,0,1,1,0,0,0,9,0,1,0,0,0,0,2,12,2
SouthSideHighSchool,0105,3,2,1,15,0,0,0,1,1,0,21,1,1,0,5,41,4
SouthSpencerHighSchool,7795,0,2,22,2,0,0,0,3,0,0,0,0,0,0,3,10,3
SouthVermillionHighSchool,8432,1,32,4,1,0,0,0,0,0,1,0,0,0,0,3,21,3
SouthernWellsJrSrHighSch,9058,3,0,0,3,0,0,0,0,0,0,9,0,1,0,5,5,1
SouthmontSrHighSchool,6257,3,8,1,0,0,0,0,5,0,0,0,0,0,0,16,22,1
SouthportHighSchool,5309,15,9,5,15,0,0,0,53,0,0,0,0,0,0,13,67,3
SouthridgeHighSchool,1588,2,8,17,6,0,0,0,4,0,1,0,0,0,0,5,4,12
SouthwestINRegionalYouthVlg,B562,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
SouthwesternHighSchool,3337,1,1,6,3,1,0,0,1,0,4,0,0,0,1,0,13,2
SouthwesternHighSchool,7701,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,4,0
SouthwoodJrSrHighSchool,8655,1,0,0,2,0,9,0,3,0,0,5,0,0,0,3,17,2
SpeedwaySeniorHighSchool,5891,9,8,3,7,0,0,0,9,0,0,0,0,0,0,5,25,1
SullivanHighSchool,7957,0,19,3,2,0,0,0,0,0,0,0,0,0,0,4,8,18
TCHarrisSchool,D451,,,,,,,,,,,,,,,,,
TROYCenter,D907,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
TabernacleChristianSchools,C940,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
TaylorHighSchool,2894,0,0,0,4,0,27,0,2,0,0,0,0,0,4,2,11,1
TecumsehJrSrHighSch,8772,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,8,4
TellCityJrSrHighSchool,6741,0,7,3,7,0,0,1,0,0,0,0,0,0,0,0,5,15
TerreHauteNorthVigoHighSch,8441,5,124,2,14,1,0,0,5,0,1,1,0,0,0,10,66,9
TerreHauteSouthVigoHighSch,8457,6,95,2,30,0,0,0,7,0,0,0,0,0,0,8,55,8
TheAcadofSciEntrepreneurship,6202,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
TheExcelCenterAnderson,4904,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
TheIndependenceAcademy,C589,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
TheKingsAcademy,B136,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
TheaBowmanLeadershipAcademy,4022,1,13,0,3,0,0,4,1,0,0,3,8,0,0,0,15,1
TheodoreRooseveltCareerTechnicalAcademy,4033,0,2,0,1,0,0,2,0,0,0,0,4,0,0,0,5,1
ThomasAEdisonJrSrHighSchool,3965,2,0,0,3,0,0,16,1,0,0,0,3,1,0,2,15,0
ThomasCarrHoweCommunityHighSchool,5639,0,5,1,1,0,0,0,3,0,0,0,0,0,0,0,6,5
TippecanoeValleyHighSchool,3602,5,2,0,1,0,1,0,2,1,0,18,0,0,0,2,17,1
TiptonHighSchool,8177,7,2,0,5,0,14,0,10,0,0,0,0,0,0,4,11,3
ToddAcademyInc,B293,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
TradersPointChristianAcademy,C375,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
TriCentralMiddleHighSchool,8155,2,2,1,0,0,13,0,0,0,0,0,0,0,1,5,7,0
TriJuniorSeniorHighSchool,2773,3,3,0,0,6,0,0,4,0,0,0,0,0,0,2,15,0
TriCountyMiddleSeniorHigh,9141,0,1,0,1,0,0,0,3,0,0,0,0,0,0,10,15,0
TriWestSeniorHighSchool,2731,12,2,4,8,0,0,0,18,0,0,0,0,0,0,7,18,0
TrinityChristianSchool,C561,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
TrinityLutheranHighSchool,B452,3,0,0,0,0,1,0,8,0,3,0,0,0,0,3,3,2
TritonCentralHighSchool,7689,6,2,1,2,0,0,0,16,0,0,0,0,0,0,8,6,0
TritonJrSrHighSchool,5923,1,0,0,4,1,0,0,3,1,0,4,0,0,0,5,10,0
TurkeyRunJrSrHighSchool,6649,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,6,0
TwinLakesSeniorHighSchool,9149,6,1,0,6,0,3,0,10,0,0,0,0,0,0,16,28,5
UnionCityCommunityJrSrHS,7161,6,5,0,1,14,0,0,0,0,0,0,0,0,0,1,5,2
UnionCountyHighSchool,8193,5,1,0,6,15,0,0,3,0,0,0,0,0,1,4,13,3
UnionHighSchool,7909,,,,,,,,,,,,,,,,,
UnionJuniorHighSchool,7119,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,9,0
UniversityHeightsPreparatoryAcademy,5864,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
UniversityHighSchoolofIndiana,B241,3,1,1,12,0,0,0,2,0,0,0,0,0,0,4,2,0
ValparaisoHighSchool,6881,17,16,0,82,0,0,17,10,2,0,0,6,46,0,55,44,4
VictoryChristianAcademy,D073,0,0,0,1,0,0,0,1,0,0,0,0,6,0,3,1,0
WabashHighSchool,8693,0,3,0,2,0,7,0,3,0,1,3,0,0,0,4,11,1
WaldoJWoodMemorialHighSchool,2233,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,3,1
WaldronJrSrHighSchool,7665,0,2,1,3,0,0,0,2,0,0,4,0,0,0,4,2,1
WapahaniHighSchool,1375,20,0,2,2,0,0,0,0,0,0,0,0,0,0,1,26,0
WarrenCentralHighSchool,5361,39,42,6,46,0,0,0,71,0,0,0,2,3,0,11,123,23
WarsawCommunityHighSchool,3647,20,5,2,17,0,2,0,18,2,0,26,1,0,0,21,74,0
WashingtonCatholicMidHighSch,A660,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5
WashingtonHighSchool,7517,1,5,0,8,0,0,0,6,24,0,0,0,0,0,5,19,1
WashingtonHighSchool,1125,1,1,12,9,0,0,0,0,0,0,0,0,0,0,4,0,52
WashingtonTwpMiddleHighSchool,6849,3,0,0,1,0,0,1,1,4,0,0,3,10,0,0,6,2
WawaseeHighSchool,3639,8,0,0,5,0,0,0,11,4,0,22,0,0,1,10,21,4
WayneHighSchool,0177,2,4,1,2,0,0,0,3,1,0,29,0,0,0,3,42,2
WesDelMiddleSeniorHighSchool,1372,20,0,0,3,0,0,0,3,0,0,0,0,0,0,3,19,0
WestCentralSeniorHighSchool,7025,1,0,0,1,0,1,0,5,0,0,0,0,2,0,2,7,1
WestLafayetteJrSrHighSch,8129,6,0,0,26,0,0,0,4,1,0,0,0,1,1,49,12,1
WestNobleHighSchool,6489,4,0,0,0,0,0,0,6,0,0,8,0,0,0,1,23,1
WestSideLeadershipAcademy,4163,0,11,0,0,0,0,3,0,0,0,0,6,0,0,0,13,8
WestVigoHighSchool,8453,1,49,0,1,0,0,0,2,0,0,0,0,0,0,1,27,3
WestWashingtonJrSrHS,8869,0,1,3,0,0,0,0,4,0,6,0,0,0,0,1,10,2
WesternBooneJrSrHighSchool,0539,18,4,0,6,0,1,0,12,0,0,0,0,0,0,15,11,3
WesternHighSchool,2921,18,1,1,6,0,33,0,9,2,0,2,0,0,5,10,13,0
WestfieldHighSchool,2493,46,15,9,58,0,4,0,23,0,0,0,0,1,0,44,59,1
WestviewJrSrHighSchool,3697,2,0,0,5,0,0,0,1,2,0,8,0,0,0,0,5,0
WestvilleHighSchool,4701,1,0,0,0,0,0,1,2,0,0,4,0,9,0,1,4,0
WheelerHighSchool,6841,4,3,0,9,0,0,5,3,0,0,0,3,12,0,12,12,0
WhiteRiverValleyJrSrHighSchool,2429,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,6,16
WhitesAcademy,B473,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
WhitesJrSrHighSchool,8673,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
WhitelandCommunityHighSchool,3421,11,5,7,11,0,0,0,49,0,1,0,0,0,0,10,62,9
WhitingHighSchool,4353,0,1,0,6,0,0,6,2,2,0,0,15,2,0,3,7,0
WhitkoHighSchool,9191,2,1,0,1,0,0,0,3,0,0,7,0,0,0,4,20,0
WilliamAWirtEmersonVisualPerfArtsAcademy,4168,1,13,0,0,0,0,6,1,0,0,7,5,1,0,1,11,0
WilliamHenryHarrisonHighSchool,8311,0,4,26,19,0,0,0,1,0,1,0,0,0,0,3,31,10
WilliamWBordenHighSchool,0813,0,3,2,0,0,0,0,2,0,13,0,0,0,3,0,8,1
WinamacCommunityHighSchool,6997,5,0,1,3,0,6,0,3,2,0,1,0,1,0,5,11,2
WoodlanJrSrHighSchool,0285,1,2,0,1,0,0,0,3,0,0,21,0,0,0,2,12,1
YorktownHighSchool,1389,50,2,1,13,0,0,0,2,0,0,3,0,0,0,2,35,1
ZionsvilleCommunityHighSchool,0512,30,7,4,61,0,2,0,25,0,0,0,0,1,0,69,28,4
