School,ID,Ball State University,Indiana State University,University of Southern Indiana,IU-Bloomington,IU-East,IU-Kokomo,IU-Northwest,IU-Purdue University-Indianapolis,IU-South Bend,IU-Southeast,IU-Purdue University-Fort Wayne,PU-Calumet Campus,PU-North Central Campus,PU-Polytechnic Statewide,PU-West Lafayette,Ivy Tech Community College,Vincennes University,Year
GaryMiddleCollege,4027,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
GatewayWoodsSchool,A352,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
GeorgeRogersClarkMiddleHighSchool,4411,0,5,0,12,0,0,6,5,0,0,0,13,0,0,1,24,1,2014
GeorgeWashingtonCommunityHighSchool,5643,1,0,1,1,0,0,0,7,0,0,0,1,0,0,0,18,0,2014
GibsonSouthernHighSchool,2211,4,3,32,4,0,0,0,0,0,0,0,0,0,0,8,10,13,2014
GoshenHighSchool,1821,13,1,0,12,0,1,0,3,36,0,8,1,0,0,5,55,0,2014
GrangerChristianSchool,D310,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
GreencastleSeniorHighSch,7089,3,19,0,5,0,0,0,8,0,0,0,0,0,0,3,9,8,2014
GreenfieldCentralHighSchool,2595,30,13,1,21,1,0,0,37,0,0,1,0,0,0,12,38,3,2014
GreensburgCommunityHighSchool,1268,10,4,1,5,0,0,0,15,0,0,0,0,0,0,4,11,0,2014
GreenwoodChristianAcademy,C966,3,0,1,1,0,0,0,10,0,0,0,2,0,0,3,0,1,2014
GreenwoodCommunityHighSchool,3473,4,14,2,14,0,0,0,31,0,0,0,0,0,0,10,28,3,2014
GriffithSeniorHighSchool,4173,2,4,0,7,0,0,26,7,1,0,0,25,0,0,7,9,4,2014
GuerinCatholicHighSchool,B249,19,1,0,24,0,1,0,6,0,0,1,0,0,1,36,4,0,2014
HagerstownJrSrHighSchool,8985,8,1,1,1,11,0,0,0,0,0,0,0,0,1,0,12,0,2014
HamiltonCommunityHighSch,7885,1,0,0,0,0,0,0,1,0,0,6,0,0,0,1,4,0,2014
HamiltonHeightsHighSchool,2477,9,3,0,4,0,10,0,9,0,0,1,0,0,0,11,21,3,2014
HamiltonSoutheasternHighSchool,2499,66,18,6,124,0,2,0,50,0,0,0,1,0,0,61,82,9,2014
HammondAcademyofScienceTechnology,4486,3,0,0,3,0,0,5,2,0,0,0,19,0,0,2,6,1,2014
HammondHighSchool,4415,1,2,1,2,0,0,6,4,0,0,1,12,0,0,1,25,4,2014
HanoverCentralHighSchool,3785,5,1,2,6,0,0,12,9,0,0,0,19,0,0,7,11,0,2014
HauserJrSrHighSchool,0410,4,1,0,3,0,0,0,6,0,0,0,0,0,0,4,6,4,2014
HebronHighSchool,6813,4,1,0,5,0,0,5,4,0,0,0,3,8,0,2,7,2,2014
HenryvilleJrSrHighSchool,0765,0,0,1,3,0,0,0,2,0,15,0,0,0,1,0,9,2,2014
HeritageChristianSchool,C275,9,2,2,16,0,0,0,1,0,0,0,0,0,0,17,4,0,2014
HeritageHallChristianSchool,A746,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
HeritageHillsHighSchool,7759,2,2,29,10,0,0,0,7,0,1,0,0,0,0,4,5,15,2014
HeritageJrSrHighSchool,0081,2,2,0,3,0,0,0,8,0,0,16,0,0,0,4,19,5,2014
HerronHighSchool,5724,2,3,1,11,0,1,0,16,0,2,0,0,0,0,5,23,1,2014
HighlandHighSchool,4281,11,3,0,9,0,0,33,5,1,0,1,49,0,0,12,34,1,2014
HobartHighSchool,4305,9,2,0,10,0,0,39,9,0,0,0,14,8,0,7,36,2,2014
HolyCrossSchool,D725,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
HomesteadSeniorHighSchool,0047,45,6,0,54,0,0,0,16,0,0,79,0,0,0,34,67,0,2014
HoosierAcademyIndianapolis,2527,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
HoosierAcademyVirtualCharterSchool,5290,0,0,1,1,0,0,0,2,1,0,2,0,0,0,0,6,0,2014
HopeAcademy,5292,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
HorizonChristianAcademy,A309,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
HorizonChristianSchool,C282,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,2014
HoweSchool,B725,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
HuntingtonNorthHighSchool,3065,26,0,2,14,0,2,0,9,0,0,31,0,0,0,7,23,3,2014
INAcademyforScienceMathHumanities,1443,16,2,0,33,0,0,0,11,0,0,4,0,0,0,19,2,0,2014
IndianCreekSrHighSchool,3419,5,5,6,12,0,0,0,12,0,0,0,0,0,0,3,17,3,2014
IndianaAcademy,B190,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
IndianaChristianAcademy,C175,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
IndianaConnectionsAcademy,7944,4,2,2,1,1,0,3,9,1,1,3,0,1,0,0,43,3,2014
IndianaCyberCharterSchool,4421,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
IndianaMathScienceAcademy,5837,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,4,1,2014
IndianaSchoolForTheBlind,C460,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
IndianaSchoolForTheDeaf,C695,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
IndianaVirtualSchool,2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
IndianapolisLighthouseCharterSchool,5523,1,6,1,1,0,0,0,4,0,0,0,0,0,0,1,6,1,2014
IndianapolisMetropolitanHighSchool,5664,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,20,2,2014
InternationalSchofINHS912,C677,0,0,0,6,0,0,0,2,0,1,0,0,0,0,4,0,0,2014
IrvingtonCommunitySchool,1537,2,1,0,2,0,1,0,10,0,0,0,0,0,0,1,16,0,2014
JacCenDelMSHS,7193,1,1,0,0,0,0,0,13,0,4,0,0,0,0,3,8,0,2014
JamesEDavisSchool,A480,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
JasperHighSchool,1593,11,8,32,25,0,0,0,16,0,7,0,0,0,0,10,3,38,2014
JayCountyHighSchool,3239,21,6,0,8,9,0,0,3,0,0,9,0,0,1,2,50,0,2014
JeffersonHighSchool,8069,6,6,0,19,0,0,0,11,0,0,2,0,0,0,35,100,6,2014
JeffersonvilleHighSchool,0849,2,7,3,10,0,0,0,10,0,73,0,0,0,1,1,53,5,2014
JenningsCountyHighSchool,3345,7,4,4,6,3,0,0,44,0,5,0,0,0,1,2,45,7,2014
JimtownHighSchool,1701,5,3,1,1,0,0,0,0,20,0,1,0,0,1,3,8,3,2014
JohnGlennHighSchool,7453,6,1,2,7,0,0,0,5,22,0,3,0,1,1,8,10,2,2014
JohnMarshallCommunityHighSchool,5494,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,15,0,2014
JohnPaulIICatholicHighSch,D722,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
JointServiceCampusProgram,7467,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
KankakeeValleyHighSchool,3181,6,12,2,3,0,0,13,7,0,0,0,5,13,1,17,22,2,2014
KeyLearningCommunityHighSchool,5631,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
KingdomAcademyofBlufftonInc,D875,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
KnightstownHighSchool,2869,1,0,0,2,4,0,0,10,0,0,1,0,0,0,3,20,1,2014
KnoxCommunityHighSchool,7833,0,0,0,0,0,0,1,1,10,0,3,0,4,0,2,18,3,2014
KokomoHighSchool,3013,8,10,1,8,0,73,0,11,0,0,1,0,1,2,10,65,6,2014
KoutsMiddleHighSchool,6833,4,0,0,3,0,0,3,4,5,0,0,0,13,0,3,6,1,2014
LaCrosseSchool,4692,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,3,0,2014
LakeCentralHighSchool,3833,33,10,4,51,0,0,82,19,1,0,2,128,0,0,64,46,5,2014
LakelandChristianAcademy,B595,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
LakelandHighSchool,3730,2,2,1,3,0,0,0,5,6,0,10,0,0,0,5,13,2,2014
LakewoodParkChristianSch,A740,0,1,0,1,0,0,0,1,0,0,6,0,0,0,2,3,0,2014
LanesvilleJrSrHighSchool,2613,0,1,3,2,0,0,0,0,0,12,0,0,0,1,2,6,2,2014
LapelSrHighSchool,5011,7,3,5,3,2,0,0,5,0,0,1,0,0,1,7,16,1,2014
LaPorteHighSchool,4741,11,2,2,17,0,0,3,14,17,0,3,1,73,0,18,18,7,2014
LaVilleJrSrHighSchool,7399,3,0,0,1,0,0,0,2,19,0,1,0,0,1,9,4,0,2014
LawrenceCentralHighSchool,5275,36,35,4,37,0,0,0,39,0,0,0,0,0,0,22,70,18,2014
LawrenceNorthHighSchool,5276,33,36,8,41,0,0,0,45,0,0,1,0,0,0,35,83,11,2014
LawrenceburgHighSchool,1177,10,3,1,3,2,0,0,4,0,0,0,0,0,0,3,28,0,2014
LebanonSeniorHighSchool,0553,6,7,1,7,0,0,0,26,0,0,0,0,0,0,19,27,6,2014
LeoJuniorSeniorHighSchool,0049,14,3,0,9,0,0,0,3,0,0,40,0,0,0,9,18,2,2014
LewWallaceSciTechEngMath,4029,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,16,7,2014
LewisCassJrSrHighSchool,0689,1,0,0,0,0,23,0,3,0,0,2,0,0,1,4,8,0,2014
LibertyChristianSchool,C225,2,1,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,2014
LighthouseChristianAcademy,C927,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
LincolnHighSchool,3553,0,4,1,4,0,0,0,1,0,0,0,0,0,0,2,2,90,2014
LincolnSrHighSch,8961,6,4,0,3,15,0,0,1,0,0,0,0,0,0,5,24,0,2014
LintonStocktonHighSchool,2437,1,18,1,2,0,0,0,1,0,0,0,0,0,0,1,10,13,2014
LogansportCommunityHighSchool,0701,9,2,1,13,0,22,0,26,0,0,2,0,0,1,11,42,4,2014
LoogooteeHighSchool,6003,0,1,2,3,0,0,0,2,0,2,0,0,0,0,0,1,36,2014
LowellSeniorHighSchool,3865,13,6,3,10,0,0,16,3,1,0,0,35,4,0,12,22,2,2014
LutheranHighSchool,C270,5,1,0,7,0,1,0,6,0,2,0,0,0,0,1,7,1,2014
MaconaquahHighSchool,6032,7,0,3,2,0,30,0,0,0,0,2,0,0,3,2,29,1,2014
MadisonConsolidatedHighSchool,3309,6,1,5,12,0,0,0,5,0,13,0,0,0,0,9,39,8,2014
MadisonGrantHighSchool,2321,7,1,0,4,0,8,0,1,0,0,0,0,0,0,5,21,0,2014
ManchesterJrSrHighSchool,8625,7,0,0,0,0,3,0,2,0,0,5,0,0,0,6,9,5,2014
MarianHighSchool,D165,6,1,0,17,0,0,0,3,29,0,3,0,0,0,22,6,0,2014
MarionHighSchool,2351,15,4,1,9,0,5,0,3,0,0,11,0,0,0,7,52,3,2014
MarquetteCatholicHighSchool,C125,1,0,0,5,0,0,1,1,0,0,0,0,8,0,7,0,0,2014
MartinsvilleHighSchool,6329,12,26,8,13,0,0,0,34,0,0,0,0,0,0,12,54,14,2014
MaterDeiHighSchool,D530,4,0,47,12,0,0,0,0,0,0,0,0,0,0,12,2,3,2014
McCutcheonHighSchool,8003,14,8,4,12,0,1,0,9,0,0,0,0,0,1,54,91,5,2014
McLeanEducationCenterAlt,8612,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
MedoraJrSrHighSchool,3093,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
MerrillvilleHighSchool,3809,4,21,0,15,0,0,37,17,0,0,4,28,3,0,8,49,21,2014
MichiganCityHighSchool,4795,14,10,1,13,0,0,4,6,3,0,0,1,49,0,11,41,12,2014
MidwestElitePrepAcadInc,B747,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
MilanHighSchool,7205,5,0,1,3,1,0,0,1,0,1,0,0,0,0,2,27,2,2014
MishawakaHighSchool,7461,12,4,0,8,0,0,0,6,52,0,0,0,1,2,17,38,2,2014
MississinewaHighSchool,2333,8,1,0,2,1,4,0,7,0,0,7,0,0,0,3,41,4,2014
MitchellHighSchool,4925,3,4,7,5,0,0,0,4,0,1,0,0,0,1,5,28,14,2014
MonroeCentralJrSrHighSch,7151,10,1,2,0,5,0,0,1,0,0,0,0,0,0,1,18,3,2014
MonroviaHighSchool,6321,3,2,2,1,0,0,0,10,0,0,0,0,0,0,6,12,4,2014
MooresvilleHighSchool,6369,15,19,7,8,0,1,0,41,0,1,0,0,0,0,11,30,11,2014
MorganTownshipMiddleHighSchool,6825,3,1,0,1,0,0,0,0,0,0,0,0,8,0,4,11,0,2014
MorristownJrSrHighSchool,7661,1,1,0,1,0,0,0,7,0,0,0,0,0,0,3,10,2,2014
MortonSeniorHighSchool,4417,5,7,0,4,0,0,18,13,1,0,0,43,0,0,1,23,4,2014
MountVernonHighSchool,6949,0,1,47,12,0,0,0,3,0,0,0,0,0,0,5,13,4,2014
MtVernonHighSchool,2569,34,5,1,20,1,0,0,23,1,1,0,0,0,0,16,33,7,2014
MTISchoolofKnowledge,C628,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
MuncieCentralHighSchool,1421,25,4,1,3,0,0,0,2,0,0,0,0,0,0,3,40,2,2014
MuncieSouthsideHighSchool,1424,13,1,0,7,0,0,0,3,0,0,0,0,0,0,0,50,3,2014
MunsterHighSchool,4332,10,2,1,53,0,0,22,6,1,0,0,63,1,0,41,21,2,2014
NeighborsNewVistasHighSchool,6864,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
NewAlbanySeniorHighSchool,1925,5,9,10,16,0,0,0,7,0,62,1,0,0,7,4,39,4,2014
NewCastleHighSchool,2825,19,7,0,4,20,0,0,5,0,0,1,0,0,1,4,33,6,2014
NewHavenHighSchool,0297,14,1,0,2,0,0,0,4,0,0,17,0,0,0,5,45,3,2014
NewPalestineHighSchool,2565,18,7,8,21,0,0,0,40,0,0,0,0,0,0,22,30,1,2014
NewPrairieHighSchool,4689,6,3,0,13,0,0,0,6,24,0,1,0,14,0,10,14,3,2014
NewTechInstitute,8326,0,3,13,0,0,0,0,1,0,1,0,0,0,0,2,14,2,2014
NewWashingtonMiddleHighSchool,0809,1,0,3,0,0,0,0,1,0,8,0,0,0,2,0,12,1,2014
NexusAcademyofIndianapolis,5302,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
NoblesvilleHighSchool,2517,61,24,6,59,0,1,0,54,0,0,0,1,0,1,52,71,10,2014
NorthCentralHighSchool,7917,0,11,0,1,0,0,0,0,0,0,0,1,0,0,0,19,4,2014
NorthCentralHighSchool,5451,33,36,4,110,0,0,0,53,0,0,1,1,0,0,37,105,24,2014
NorthDaviessJrSrHighSchool,1121,0,7,5,1,0,0,0,2,0,0,0,0,0,0,2,2,28,2014
NorthDecaturJrSrHighSchool,1267,5,0,0,2,0,0,0,12,0,0,0,0,0,0,5,7,1,2014
NorthHarrisonHighSchool,2629,2,1,5,4,0,0,0,0,0,38,0,0,0,0,2,17,0,2014
NorthHighSchool,8253,5,3,53,11,0,0,0,9,0,1,0,0,0,0,10,44,10,2014
NorthJudsonSanPierreHighSch,7849,0,2,1,2,0,0,1,3,1,0,1,0,11,0,1,13,3,2014
NorthKnoxJrSrHighSchool,3537,0,6,4,1,0,0,0,1,0,0,0,0,0,0,1,2,50,2014
NorthMiamiMiddleHighSchool,6049,1,4,1,0,0,8,0,1,0,0,0,0,0,0,1,9,0,2014
NorthMontgomeryHighSchool,6271,4,2,2,1,0,1,0,4,0,0,0,0,0,0,12,18,4,2014
NorthNewtonJrSrHighSch,6411,0,0,2,3,0,0,1,3,0,0,0,9,3,0,7,11,1,2014
NorthPoseySrHighSch,6975,0,0,35,5,0,0,0,5,0,0,0,0,0,0,13,17,5,2014
NorthPutnamSrHighSch,7061,4,12,2,6,0,0,0,7,0,0,0,0,0,0,3,12,6,2014
NorthSideHighSchool,0101,8,4,0,8,0,1,0,2,3,0,33,0,0,0,6,79,2,2014
NorthVermillionHighSchool,8394,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2014
NorthWhiteJrSrHighSchool,9135,0,1,0,1,0,1,0,6,0,0,0,0,0,0,3,10,0,2014
NorthWoodHighSchool,1737,7,0,0,12,0,0,0,7,20,0,3,0,0,0,10,9,3,2014
NortheastDuboisHighSchool,1545,3,3,10,1,0,0,0,0,0,3,0,0,0,0,0,2,15,2014
NortheasternHighSchool,8927,3,0,0,0,23,0,0,1,0,1,0,0,0,0,3,17,0,2014
NorthfieldJrSrHighSchool,8651,5,1,0,3,0,1,0,0,0,0,1,1,0,0,6,7,1,2014
NorthridgeHighSchool,1733,10,3,1,17,1,0,0,11,11,0,6,1,0,0,20,29,2,2014
NorthropHighSchool,0219,11,7,1,21,1,1,0,9,0,0,66,0,0,0,9,77,2,2014
NorthviewHighSchool,0933,3,42,2,7,0,0,0,4,0,0,0,0,0,0,6,48,8,2014
NorthwestCommunityHighSchool,5483,1,9,0,1,0,0,0,9,0,0,0,0,0,0,0,22,7,2014
NorthwesternSeniorHighSchool,2897,5,8,0,8,0,21,0,5,0,0,1,0,0,2,8,12,1,2014
NorwellHighSchool,9087,9,2,0,4,0,0,0,6,0,0,23,0,0,0,8,26,0,2014
OakHillHighSchool,6069,7,0,1,11,0,19,0,8,0,0,0,0,0,0,3,15,0,2014
OaklandHighSchool,8015,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
OldenburgAcademy,D135,3,0,0,1,0,0,0,1,0,0,0,0,0,0,4,2,0,2014
OptionsCharterSchoolCarmel,2524,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
OptionsCharterSchoolNoblesville,2551,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,2014
OregonDavisJrSrHighSchool,7831,1,0,0,0,0,0,0,0,6,0,1,0,2,0,2,2,0,2014
OrleansJrSrHighSch,6573,1,2,1,1,0,0,0,4,0,9,0,0,0,0,1,8,9,2014
OurLadyOfProvidenceHighSch,A575,3,2,0,20,0,0,0,6,0,26,0,0,0,1,8,8,0,2014
OwenValleyCommunityHS,6613,0,12,4,9,0,0,0,0,0,0,0,0,0,0,6,40,9,2014
PaddockViewResidentialCenter,B167,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
PaoliJrSrHighSch,6581,0,8,6,1,0,0,0,3,0,13,0,0,0,1,2,10,18,2014
PendletonHeightsHighSchool,5053,21,4,3,18,0,0,0,17,0,0,2,0,2,1,13,56,5,2014
PennHighSchool,7353,22,9,3,87,0,0,0,11,141,0,5,0,2,6,60,40,1,2014
PerryCentralJrSrHighSch,6708,1,4,14,5,0,0,0,4,0,2,0,0,0,0,3,2,8,2014
PerryMeridianHighSchool,5307,12,10,7,27,0,0,0,52,0,0,0,0,0,0,10,81,8,2014
PeruHighSchool,6085,11,5,0,0,0,16,0,3,0,0,2,0,0,3,5,13,1,2014
PikeCentralHighSch,6763,4,1,12,2,0,0,0,5,0,0,0,0,0,0,0,7,26,2014
PikeHighSchool,5353,16,47,1,39,0,0,0,48,0,3,0,0,0,0,19,124,18,2014
PinnacleSchool,C899,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
PioneerJrSrHighSchool,0645,1,0,0,1,0,6,0,0,0,0,1,0,0,0,6,15,1,2014
PlainfieldHighSchool,2749,18,14,6,20,0,0,0,47,0,0,0,0,1,0,17,39,3,2014
PlymouthHighSchool,5945,8,1,0,5,0,0,0,1,20,0,5,1,2,0,17,25,1,2014
PortageChristianSchool,D080,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
PortageHighSchool,6853,14,13,4,16,0,0,67,17,0,0,2,19,62,0,15,65,7,2014
PrairieHeightsSrHighSchool,3690,0,0,0,0,0,0,0,0,3,0,10,0,0,0,5,11,1,2014
PrincetonCommunityHighSchool,2249,1,8,29,4,0,0,0,0,0,1,0,0,0,0,4,4,34,2014
ProvidenceCristoReyHighSchool,C623,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
RNelsonSniderHighSchool,0102,13,8,1,23,0,1,0,7,1,0,81,1,0,0,12,62,3,2014
RandolphSouthernJrSrHighSch,7121,4,0,1,0,11,0,0,1,0,0,0,0,0,0,1,3,4,2014
ReitzMemorialHighSchool,D535,4,2,46,30,0,0,0,3,0,0,0,0,0,0,12,7,5,2014
RensselaerCentralHighSchool,3201,1,7,3,8,0,0,0,10,0,0,0,0,0,0,8,8,2,2014
RichmondAcademy,D860,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
